municipality_code,municipality_name,annual_dispatches,daily_calls,source_url,source_year,mapping_note
41110,수원시,76784,210.3671,https://data.gg.go.kr/portal/data/service/selectServicePage.do?infId=SE00GA6F273B8PIJ9N8412495661&infSeq=1,2025,수원남부소방서 + 수원소방서 합산(2개 소방서)
41130,성남시,58814,161.1342,https://data.gg.go.kr/portal/data/service/selectServicePage.do?infId=SE00GA6F273B8PIJ9N8412495661&infSeq=1,2025,분당소방서 + 성남소방서 합산(2개 소방서)
41150,의정부시,30812,84.4164,https://data.gg.go.kr/portal/data/service/selectServicePage.do?infId=SE00GA6F273B8PIJ9N8412495661&infSeq=1,2025,의정부소방서 단독 관할
41170,안양시,31628,86.6521,https://data.gg.go.kr/portal/data/service/selectServicePage.do?infId=SE00GA6F273B8PIJ9N8412495661&infSeq=1,2025,안양소방서 단독 관할
41190,부천시,48099,131.7781,https://data.gg.go.kr/portal/data/service/selectServicePage.do?infId=SE00GA6F273B8PIJ9N8412495661&infSeq=1,2025,부천소방서 단독 관할
41210,광명시,15539,42.5726,https://data.gg.go.kr/portal/data/service/selectServicePage.do?infId=SE00GA6F273B8PIJ9N8412495661&infSeq=1,2025,광명소방서 단독 관할
41220,평택시,38759,106.189,https://data.gg.go.kr/portal/data/service/selectServicePage.do?infId=SE00GA6F273B8PIJ9N8412495661&infSeq=1,2025,송탄소방서 + 평택소방서 합산(2개 소방서)
41250,동두천시,8369,22.9288,https://data.gg.go.kr/portal/data/service/selectServicePage.do?infId=SE00GA6F273B8PIJ9N8412495661&infSeq=1,2025,동두천소방서 단독 관할
41270,안산시,42276,115.8247,https://data.gg.go.kr/portal/data/service/selectServicePage.do?infId=SE00GA6F273B8PIJ9N8412495661&infSeq=1,2025,안산소방서 단독 관할
41280,고양시,55282,151.4575,https://data.gg.go.kr/portal/data/service/selectServicePage.do?infId=SE00GA6F273B8PIJ9N8412495661&infSeq=1,2025,고양소방서 + 일산소방서 합산(2개 소방서)
