month,years,dispatches_total,transports_total,patients_total,dispatches_seasonality_multiplier,transports_seasonality_multiplier,patients_seasonality_multiplier
1,4,233087,133212,135509,0.914495431804504,0.9485988595882284,0.9503703830492622
2,4,211080,117215,119324,0.8259388962691142,0.8329346155756366,0.8349041259897895
3,4,249922,130579,133011,0.9660588518149738,0.9203973332754414,0.9233176892387751
4,4,243532,133977,136276,0.9459887872243568,0.9435718525593422,0.9451801029477422
5,4,260987,145871,148083,1.0178983087126676,1.029901835962989,1.029631952948248
6,4,259253,145266,147525,1.0166695125614509,1.0302982329323291,1.0299791705429477
7,4,280177,154630,157353,1.0947853134933387,1.0937871466102194,1.0961239121645476
8,4,289476,157392,159820,1.128730846150892,1.1110570197096175,1.1108552655068198
9,4,270947,148106,150240,1.0560954197417878,1.0451723524761356,1.0436868861856865
10,4,262956,147436,149531,1.0291776996770081,1.043327529569319,1.0416265326399186
11,4,252808,141249,143004,0.9873622109951155,0.9983494370287787,0.9950006860978606
12,4,261973,142701,144437,1.0167987215547898,1.0026037847119633,0.9993232926884019
