category_type,category_value,dispatches,share_of_all_rows_pct,share_of_recorded_rows_pct
patnt_symptms_type,<미기재>,25308,32.96,
patnt_symptms_type,기타통증,8392,10.9294,16.3027
patnt_symptms_type,기타,6608,8.606,12.8371
patnt_symptms_type,복통,5740,7.4755,11.1508
patnt_symptms_type,두통,3129,4.0751,6.0786
patnt_symptms_type,어지러움,2869,3.7365,5.5735
patnt_symptms_type,열상,2538,3.3054,4.9305
patnt_symptms_type,요통,2520,3.2819,4.8955
patnt_symptms_type,호흡곤란,2434,3.1699,4.7284
patnt_symptms_type,의식장애,2099,2.7336,4.0776
patnt_symptms_type,찰과상,1888,2.4588,3.6677
patnt_symptms_type,고열,1793,2.3351,3.4832
patnt_symptms_type,심정지,1667,2.171,3.2384
patnt_symptms_type,전신쇠약,1574,2.0499,3.0577
patnt_symptms_type,흉통,1194,1.555,2.3195
patnt_symptms_type,실신,1089,1.4183,2.1155
patnt_symptms_type,정신장애,795,1.0354,1.5444
patnt_symptms_type,그 밖의출혈,726,0.9455,1.4104
patnt_symptms_type,타박상,654,0.8517,1.2705
patnt_symptms_type,경련/발작,566,0.7371,1.0995
patnt_symptms_type,비출혈,472,0.6147,0.9169
patnt_symptms_type,심계항진,348,0.4532,0.676
patnt_symptms_type,오심,247,0.3217,0.4798
patnt_symptms_type,설사,230,0.2995,0.4468
patnt_symptms_type,구토,219,0.2852,0.4254
patnt_symptms_type,배뇨장애,216,0.2813,0.4196
patnt_symptms_type,골절,173,0.2253,0.3361
patnt_symptms_type,토혈,172,0.224,0.3341
patnt_symptms_type,마비,167,0.2175,0.3244
patnt_symptms_type,가슴불편감,136,0.1771,0.2642
patnt_symptms_type,염좌,117,0.1524,0.2273
patnt_symptms_type,화상,101,0.1315,0.1962
patnt_symptms_type,질출혈,90,0.1172,0.1748
patnt_symptms_type,기타이물질,78,0.1016,0.1515
patnt_symptms_type,탈구,75,0.0977,0.1457
patnt_symptms_type,기침,72,0.0938,0.1399
patnt_symptms_type,객혈,58,0.0755,0.1127
patnt_symptms_type,혈변,56,0.0729,0.1088
patnt_symptms_type,변비,55,0.0716,0.1068
patnt_symptms_type,기도이물,31,0.0404,0.0602
patnt_symptms_type,분만진통,28,0.0365,0.0544
patnt_symptms_type,절단,22,0.0287,0.0427
patnt_symptms_type,저체온증,17,0.0221,0.033
patnt_symptms_type,그밖의통증기타,11,0.0143,0.0214
patnt_symptms_type,압궤손상,8,0.0104,0.0155
patnt_symptms_type,호흡정지,2,0.0026,0.0039
model_type_proposal,minor,37782,49.2056,73.3973
model_type_proposal,<미기재>,25308,32.96,
model_type_proposal,trauma,6428,8.3715,12.4874
model_type_proposal,cardiac,4434,5.7746,8.6137
model_type_proposal,stroke,2832,3.6883,5.5016
relif_occurplc_type_base,집,34673,45.1565,59.4744
relif_occurplc_type_base,<미기재>,18485,24.074,
relif_occurplc_type_base,도로외교통지역,6983,9.0943,11.9779
relif_occurplc_type_base,도로,4616,6.0117,7.9178
relif_occurplc_type_base,상업시설,4181,5.4451,7.1716
relif_occurplc_type_base,집단거주시설,2214,2.8834,3.7977
relif_occurplc_type_base,오락/문화시설,1662,2.1645,2.8508
relif_occurplc_type_base,의료관련시설,1576,2.0525,2.7033
relif_occurplc_type_base,학교/교육시설,876,1.1409,1.5026
relif_occurplc_type_base,기타,707,0.9208,1.2127
relif_occurplc_type_base,운동시설,468,0.6095,0.8028
