candidate_id,candidate_name,municipality_code,road_address,latitude,longitude,candidate_source,land_feasibility_status,coordinate_source,matched_address,kakao_place_id,geocoding_status,routing_status,cell_population_estimate,administrative_code,nearest_facility_km,grid_row,grid_col
GRID-1KM-41110-000-005,경기도 수원시 권선구 대황교동 격자 0-5,41110,경기도 수원시 권선구 대황교동,37.2310151705,127.0031190034,population-filtered 1 km grid; Kakao coord2regioncode administrative membership,requires_planning_review_vacant_site_unverified,grid_cell_center,경기도 수원시 권선구 곡선동,,verified_municipality_match,probe_routable,8638.2,4111369000,3.981,0,5
GRID-1KM-41110-000-006,경기도 수원시 권선구 대황교동 격자 0-6,41110,경기도 수원시 권선구 대황교동,37.2310151705,127.0144080036,population-filtered 1 km grid; Kakao coord2regioncode administrative membership,requires_planning_review_vacant_site_unverified,grid_cell_center,경기도 수원시 권선구 곡선동,,verified_municipality_match,probe_routable,8638.2,4111369000,3.940,0,6
GRID-1KM-41110-000-007,경기도 수원시 권선구 곡반정동 격자 0-7,41110,경기도 수원시 권선구 곡반정동,37.2310151705,127.0256970039,population-filtered 1 km grid; Kakao coord2regioncode administrative membership,requires_planning_review_vacant_site_unverified,grid_cell_center,경기도 수원시 권선구 곡선동,,verified_municipality_match,probe_routable,8638.2,4111369000,3.814,0,7
GRID-1KM-41110-001-001,경기도 수원시 권선구 오목천동 격자 1-1,41110,경기도 수원시 권선구 오목천동,37.2399982823,126.9579630024,population-filtered 1 km grid; Kakao coord2regioncode administrative membership,requires_planning_review_vacant_site_unverified,grid_cell_center,경기도 수원시 권선구 평동,,verified_municipality_match,probe_routable,4085.4,4111355000,2.300,1,1
GRID-1KM-41110-001-002,경기도 수원시 권선구 오목천동 격자 1-2,41110,경기도 수원시 권선구 오목천동,37.2399982823,126.9692520026,population-filtered 1 km grid; Kakao coord2regioncode administrative membership,requires_planning_review_vacant_site_unverified,grid_cell_center,경기도 수원시 권선구 평동,,verified_municipality_match,probe_routable,4085.4,4111355000,2.091,1,2
GRID-1KM-41110-001-003,경기도 수원시 권선구 고색동 격자 1-3,41110,경기도 수원시 권선구 고색동,37.2399982823,126.9805410029,population-filtered 1 km grid; Kakao coord2regioncode administrative membership,requires_planning_review_vacant_site_unverified,grid_cell_center,경기도 수원시 권선구 평동,,verified_municipality_match,probe_routable,4085.4,4111355000,2.140,1,3
GRID-1KM-41110-001-004,경기도 수원시 권선구 평리동 격자 1-4,41110,경기도 수원시 권선구 평리동,37.2399982823,126.9918300031,population-filtered 1 km grid; Kakao coord2regioncode administrative membership,requires_planning_review_vacant_site_unverified,grid_cell_center,경기도 수원시 권선구 평동,,verified_municipality_match,probe_routable,4085.4,4111355000,2.578,1,4
GRID-1KM-41110-001-006,경기도 수원시 권선구 장지동 격자 1-6,41110,경기도 수원시 권선구 장지동,37.2399982823,127.0144080036,population-filtered 1 km grid; Kakao coord2regioncode administrative membership,requires_planning_review_vacant_site_unverified,grid_cell_center,경기도 수원시 권선구 세류2동,,verified_municipality_match,probe_routable,5422.8,4111353000,2.983,1,6
GRID-1KM-41110-002-005,경기도 수원시 권선구 세류동 격자 2-5,41110,경기도 수원시 권선구 세류동,37.2489813940,127.0031190034,population-filtered 1 km grid; Kakao coord2regioncode administrative membership,requires_planning_review_vacant_site_unverified,grid_cell_center,경기도 수원시 권선구 세류2동,,verified_municipality_match,probe_routable,5422.8,4111353000,2.638,2,5
GRID-1KM-41110-002-006,경기도 수원시 권선구 세류동 격자 2-6,41110,경기도 수원시 권선구 세류동,37.2489813940,127.0144080036,population-filtered 1 km grid; Kakao coord2regioncode administrative membership,requires_planning_review_vacant_site_unverified,grid_cell_center,경기도 수원시 권선구 세류2동,,verified_municipality_match,probe_routable,5422.8,4111353000,2.067,2,6
GRID-1KM-41110-002-008,경기도 수원시 권선구 권선동 격자 2-8,41110,경기도 수원시 권선구 권선동,37.2489813940,127.0369860041,population-filtered 1 km grid; Kakao coord2regioncode administrative membership,requires_planning_review_vacant_site_unverified,grid_cell_center,경기도 수원시 권선구 곡선동,,verified_municipality_match,probe_routable,8638.2,4111369000,2.080,2,8
GRID-1KM-41110-006-000,경기도 수원시 권선구 당수동 격자 6-0,41110,경기도 수원시 권선구 당수동,37.2849138410,126.9466740021,population-filtered 1 km grid; Kakao coord2regioncode administrative membership,requires_planning_review_vacant_site_unverified,grid_cell_center,경기도 수원시 권선구 입북동,,verified_municipality_match,probe_routable,4889.5,4111370000,3.150,6,0
GRID-1KM-41110-006-001,경기도 수원시 권선구 입북동 격자 6-1,41110,경기도 수원시 권선구 입북동,37.2849138410,126.9579630024,population-filtered 1 km grid; Kakao coord2regioncode administrative membership,requires_planning_review_vacant_site_unverified,grid_cell_center,경기도 수원시 권선구 입북동,,verified_municipality_match,probe_routable,4889.5,4111370000,2.806,6,1
GRID-1KM-41110-006-002,경기도 수원시 권선구 구운동 격자 6-2,41110,경기도 수원시 권선구 구운동,37.2849138410,126.9692520026,population-filtered 1 km grid; Kakao coord2regioncode administrative membership,requires_planning_review_vacant_site_unverified,grid_cell_center,경기도 수원시 권선구 구운동,,verified_municipality_match,probe_routable,11217.0,4111365000,2.574,6,2
GRID-1KM-41110-006-011,경기도 수원시 영통구 하동 격자 6-11,41110,경기도 수원시 영통구 하동,37.2849138410,127.0708530049,population-filtered 1 km grid; Kakao coord2regioncode administrative membership,requires_planning_review_vacant_site_unverified,grid_cell_center,경기도 수원시 영통구 광교2동,,verified_municipality_match,probe_routable,7080.2,4111761000,2.259,6,11
GRID-1KM-41110-007-000,경기도 수원시 권선구 당수동 격자 7-0,41110,경기도 수원시 권선구 당수동,37.2938969528,126.9466740021,population-filtered 1 km grid; Kakao coord2regioncode administrative membership,requires_planning_review_vacant_site_unverified,grid_cell_center,경기도 수원시 권선구 입북동,,verified_municipality_match,probe_routable,4889.5,4111370000,4.053,7,0
GRID-1KM-41110-007-001,경기도 수원시 권선구 입북동 격자 7-1,41110,경기도 수원시 권선구 입북동,37.2938969528,126.9579630024,population-filtered 1 km grid; Kakao coord2regioncode administrative membership,requires_planning_review_vacant_site_unverified,grid_cell_center,경기도 수원시 권선구 입북동,,verified_municipality_match,probe_routable,4889.5,4111370000,3.441,7,1
