municipality_code,origin_id,destination_id,duration_minutes,duration_seconds,distance_meters,routing_provider,routing_profile,collected_at
41220,41220::ambulance_base::001,41220::hospital::001,4.416666666666667,265,1037,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:47:42.243812+00:00
41220,41220::ambulance_base::001,41220::hospital::002,23.066666666666666,1384,9809,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:47:42.611473+00:00
41220,41220::ambulance_base::001,41220::hospital::003,9.316666666666666,559,2347,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:47:42.928371+00:00
41220,41220::ambulance_base::001,41220::hospital::004,15.15,909,5499,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:47:43.255755+00:00
41220,41220::ambulance_base::002,41220::hospital::001,33.666666666666664,2020,22393,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:47:43.633361+00:00
41220,41220::ambulance_base::002,41220::hospital::002,32.833333333333336,1970,19807,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:47:44.018781+00:00
41220,41220::ambulance_base::002,41220::hospital::003,34.71666666666667,2083,17531,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:47:44.435957+00:00
41220,41220::ambulance_base::002,41220::hospital::004,29.9,1794,17983,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:47:44.832767+00:00
41220,41220::ambulance_base::003,41220::hospital::001,13.95,837,7400,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:47:45.167106+00:00
41220,41220::ambulance_base::003,41220::hospital::002,22.95,1377,15289,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:47:45.530634+00:00
41220,41220::ambulance_base::003,41220::hospital::003,15.933333333333334,956,6048,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:47:45.847735+00:00
41220,41220::ambulance_base::003,41220::hospital::004,14.616666666666667,877,8682,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:47:46.193162+00:00
41220,41220::ambulance_base::004,41220::hospital::001,48.85,2931,30828,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:47:46.682061+00:00
41220,41220::ambulance_base::004,41220::hospital::002,38.88333333333333,2333,30373,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:47:47.112229+00:00
41220,41220::ambulance_base::004,41220::hospital::003,46.18333333333333,2771,33635,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:47:47.664257+00:00
41220,41220::ambulance_base::004,41220::hospital::004,39.85,2391,31149,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:47:48.034314+00:00
41220,41220::ambulance_base::005,41220::hospital::001,9.15,549,3872,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:47:48.363021+00:00
41220,41220::ambulance_base::005,41220::hospital::002,21.9,1314,7961,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:47:48.689423+00:00
41220,41220::ambulance_base::005,41220::hospital::003,3.7,222,754,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:47:48.982169+00:00
41220,41220::ambulance_base::005,41220::hospital::004,11.05,663,3069,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:47:49.282987+00:00
41220,41220::ambulance_base::006,41220::hospital::001,11.266666666666667,676,4282,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:47:49.603188+00:00
41220,41220::ambulance_base::006,41220::hospital::002,13.716666666666667,823,6335,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:47:49.957992+00:00
41220,41220::ambulance_base::006,41220::hospital::003,9.483333333333333,569,2713,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:47:50.293837+00:00
41220,41220::ambulance_base::006,41220::hospital::004,5.55,333,2025,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:47:50.617395+00:00
41220,41220::ambulance_base::007,41220::hospital::001,26.083333333333332,1565,15993,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:47:50.988188+00:00
41220,41220::ambulance_base::007,41220::hospital::002,13.233333333333333,794,4488,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:47:51.326323+00:00
41220,41220::ambulance_base::007,41220::hospital::003,26.583333333333332,1595,11094,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:47:51.710282+00:00
41220,41220::ambulance_base::007,41220::hospital::004,20.05,1203,8608,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:47:52.041080+00:00
41220,41220::ambulance_base::008,41220::hospital::001,19.916666666666668,1195,8603,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:47:52.396412+00:00
41220,41220::ambulance_base::008,41220::hospital::002,6.666666666666667,400,2558,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:47:52.698479+00:00
41220,41220::ambulance_base::008,41220::hospital::003,17.966666666666665,1078,7034,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:47:53.047286+00:00
41220,41220::ambulance_base::008,41220::hospital::004,9.366666666666667,562,3682,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:47:53.345691+00:00
41220,41220::ambulance_base::009,41220::hospital::001,34.483333333333334,2069,15590,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:47:53.747541+00:00
41220,41220::ambulance_base::009,41220::hospital::002,12.4,744,5511,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:47:54.109850+00:00
41220,41220::ambulance_base::009,41220::hospital::003,30.983333333333334,1859,13168,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:47:54.536663+00:00
41220,41220::ambulance_base::009,41220::hospital::004,21.0,1260,9816,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:47:54.894345+00:00
41220,41220::ambulance_base::010,41220::hospital::001,32.833333333333336,1970,14677,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:47:55.270588+00:00
41220,41220::ambulance_base::010,41220::hospital::002,18.283333333333335,1097,9589,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:47:55.637891+00:00
41220,41220::ambulance_base::010,41220::hospital::003,34.166666666666664,2050,14556,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:47:56.053619+00:00
41220,41220::ambulance_base::010,41220::hospital::004,26.816666666666666,1609,14428,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:47:56.464034+00:00
