municipality_code,municipality_name,population_202608,demand_point_count,existing_emergency_hospital_count,ambulance_base_row_count,ambulance_count,ready_for_simulation
41110,수원시,1185677,44,7,11,19,False
41130,성남시,899806,50,6,13,18,False
41150,의정부시,461977,15,5,6,9,False
41170,안양시,562007,31,2,6,8,False
41190,부천시,754159,37,4,10,11,False
41210,광명시,303641,19,2,4,5,False
41220,평택시,622663,25,4,12,14,False
41250,동두천시,86168,8,0,3,4,False
41270,안산시,608487,25,5,11,14,False
41280,고양시,1056589,44,7,15,19,False
41290,과천시,81107,7,0,2,3,False
41310,구리시,188134,8,1,4,4,False
41360,남양주시,727158,18,3,10,12,False
41370,오산시,255303,8,1,4,5,False
41390,시흥시,515337,20,3,6,9,False
41410,군포시,249066,12,2,3,5,False
41430,의왕시,166540,6,0,3,4,False
41450,하남시,327389,14,0,4,5,False
41460,용인시,1091437,39,5,14,19,False
41480,파주시,535692,20,2,9,11,False
41500,이천시,227032,14,1,6,7,False
41550,안성시,199484,15,2,6,7,False
41570,김포시,483679,14,2,10,10,False
41590,화성시,1000464,29,3,11,15,False
41610,광주시,401246,16,1,7,8,False
41630,양주시,297605,12,0,7,7,False
41650,포천시,140397,14,2,10,11,False
41670,여주시,113348,12,1,6,7,False
41800,연천군,43143,10,1,6,6,False
41820,가평군,62046,6,0,6,6,False
41830,양평군,127137,12,1,7,8,False
