administrative_code,administrative_name,municipality_code,population,households,latitude,longitude,coordinate_source,matched_address,kakao_place_id,geocoding_status,demand_rate_status
5211151000,전북특별자치도 전주시 완산구 중앙동,52110,9374,4791,35.8234981750858,127.140617633461,kakao_administrative_office_representative_proxy,전북특별자치도 전주시 완산구 태평3길 43-17,8079568,verified_municipality_match,pending_119_activity_api
5211153000,전북특별자치도 전주시 완산구 풍남동,52110,3278,2112,35.817050594133,127.148095344106,kakao_administrative_office_representative_proxy,전북특별자치도 전주시 완산구 어진길 122-12,8119320,verified_municipality_match,pending_119_activity_api
5211160500,전북특별자치도 전주시 완산구 노송동,52110,9810,5272,35.82439175838,127.158383066939,kakao_administrative_office_representative_proxy,전북특별자치도 전주시 완산구 인봉1길 54,8855757,verified_municipality_match,pending_119_activity_api
5211163500,전북특별자치도 전주시 완산구 완산동,52110,4630,2515,35.8092216033505,127.134852281223,kakao_administrative_office_representative_proxy,전북특별자치도 전주시 완산구 강당2길 7,9275469,verified_municipality_match,pending_119_activity_api
5211165000,전북특별자치도 전주시 완산구 동서학동,52110,5518,3069,35.8095216496836,127.152272552194,kakao_administrative_office_representative_proxy,전북특별자치도 전주시 완산구 서학로 26,8257511,verified_municipality_match,pending_119_activity_api
5211166000,전북특별자치도 전주시 완산구 서서학동,52110,7546,4266,35.8057588495796,127.148698381466,kakao_administrative_office_representative_proxy,전북특별자치도 전주시 완산구 공수내로 24,7944559,verified_municipality_match,pending_119_activity_api
5211167100,전북특별자치도 전주시 완산구 중화산1동,52110,13107,6299,35.8145858954072,127.12485408643,kakao_administrative_office_representative_proxy,전북특별자치도 전주시 완산구 한두평3길 16,10001923,verified_municipality_match,pending_119_activity_api
5211167200,전북특별자치도 전주시 완산구 중화산2동,52110,18489,9301,35.8216566502663,127.116406254389,kakao_administrative_office_representative_proxy,전북특별자치도 전주시 완산구 화산천변로 30,8081763,verified_municipality_match,pending_119_activity_api
5211168000,전북특별자치도 전주시 완산구 서신동,52110,37770,17567,35.8310848804895,127.115308857863,kakao_administrative_office_representative_proxy,전북특별자치도 전주시 완산구 서신천변14길 10,8371745,verified_municipality_match,pending_119_activity_api
5211169100,전북특별자치도 전주시 완산구 평화1동,52110,11384,7000,35.798086595021715,127.14028742116078,kakao_administrative_office_representative_proxy,전북특별자치도 전주시 완산구 장승배기로 256,8132354,verified_municipality_match,pending_119_activity_api
5211169200,전북특별자치도 전주시 완산구 평화2동,52110,41667,18593,35.79554717940991,127.13526724435977,kakao_administrative_office_representative_proxy,전북특별자치도 전주시 완산구 평화18길 14-16,8132355,verified_municipality_match,pending_119_activity_api
5211170100,전북특별자치도 전주시 완산구 삼천1동,52110,10302,4781,35.8007999015853,127.121619765063,kakao_administrative_office_representative_proxy,전북특별자치도 전주시 완산구 성지산로 33,7927531,verified_municipality_match,pending_119_activity_api
5211170200,전북특별자치도 전주시 완산구 삼천2동,52110,11356,5878,35.7963973655766,127.122374159944,kakao_administrative_office_representative_proxy,전북특별자치도 전주시 완산구 거마중앙로 49,8390770,verified_municipality_match,pending_119_activity_api
5211170300,전북특별자치도 전주시 완산구 삼천3동,52110,19902,9155,35.7969172306955,127.114299231248,kakao_administrative_office_representative_proxy,전북특별자치도 전주시 완산구 삼천천변2길 37,19363905,verified_municipality_match,pending_119_activity_api
5211171100,전북특별자치도 전주시 완산구 효자1동,52110,11603,5279,35.8058995218044,127.129969706417,kakao_administrative_office_representative_proxy,전북특별자치도 전주시 완산구 안행5길 59-3,10961205,verified_municipality_match,pending_119_activity_api
