municipality_code,origin_id,destination_id,duration_minutes,duration_seconds,distance_meters,routing_provider,routing_profile,collected_at,pair_set,reused_from
52110,52110::ambulance_base::001,52110::demand::5211151000,15.383333333333333,923,5109,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:16.704210+00:00,operations,
52110,52110::ambulance_base::001,52110::demand::5211153000,13.95,837,4505,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:16.921292+00:00,operations,
52110,52110::ambulance_base::001,52110::demand::5211160500,19.6,1176,6195,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:17.165804+00:00,operations,
52110,52110::ambulance_base::001,52110::demand::5211163500,9.466666666666667,568,2977,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:17.384965+00:00,operations,
52110,52110::ambulance_base::001,52110::demand::5211165000,12.983333333333333,779,4556,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:17.607791+00:00,operations,
52110,52110::ambulance_base::001,52110::demand::5211166000,11.0,660,3804,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:17.818310+00:00,operations,
52110,52110::ambulance_base::001,52110::demand::5211167100,9.016666666666667,541,2740,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:18.039066+00:00,operations,
52110,52110::ambulance_base::001,52110::demand::5211167200,8.85,531,3545,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:18.244032+00:00,operations,
52110,52110::ambulance_base::001,52110::demand::5211168000,12.233333333333333,734,4595,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:18.470500+00:00,operations,
52110,52110::ambulance_base::001,52110::demand::5211169100,8.4,504,2656,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:18.693260+00:00,operations,
52110,52110::ambulance_base::001,52110::demand::5211169200,7.433333333333334,446,2132,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:18.920897+00:00,operations,
52110,52110::ambulance_base::001,52110::demand::5211170100,5.833333333333333,350,1418,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:19.114554+00:00,operations,
52110,52110::ambulance_base::001,52110::demand::5211170200,3.3833333333333333,203,898,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:19.300261+00:00,operations,
52110,52110::ambulance_base::001,52110::demand::5211170300,2.7,162,598,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:19.502048+00:00,operations,
52110,52110::ambulance_base::001,52110::demand::5211171100,7.65,459,2315,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:19.727376+00:00,operations,
52110,52110::ambulance_base::001,52110::demand::5211171200,5.033333333333333,302,1355,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:19.956687+00:00,operations,
52110,52110::ambulance_base::001,52110::demand::5211171300,4.316666666666666,259,1580,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:20.155657+00:00,operations,
52110,52110::ambulance_base::001,52110::demand::5211171400,7.233333333333333,434,2140,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:20.355924+00:00,operations,
52110,52110::ambulance_base::001,52110::demand::5211173000,11.933333333333334,716,3844,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:20.578930+00:00,operations,
52110,52110::ambulance_base::001,52110::demand::5211352500,13.383333333333333,803,4747,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:20.828501+00:00,operations,
52110,52110::ambulance_base::001,52110::demand::5211354000,21.316666666666666,1279,7259,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:21.061162+00:00,operations,
52110,52110::ambulance_base::001,52110::demand::5211355000,20.3,1218,7449,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:21.376001+00:00,operations,
52110,52110::ambulance_base::001,52110::demand::5211356000,21.35,1281,6903,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:21.619321+00:00,operations,
52110,52110::ambulance_base::001,52110::demand::5211357000,16.433333333333334,986,7195,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:21.854377+00:00,operations,
52110,52110::ambulance_base::001,52110::demand::5211357500,17.116666666666667,1027,6018,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:22.086844+00:00,operations,
52110,52110::ambulance_base::001,52110::demand::5211360000,18.233333333333334,1094,8058,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:22.332237+00:00,operations,
52110,52110::ambulance_base::001,52110::demand::5211361100,23.25,1395,8831,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:22.608194+00:00,operations,
52110,52110::ambulance_base::001,52110::demand::5211361200,23.7,1422,8148,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:22.890289+00:00,operations,
52110,52110::ambulance_base::001,52110::demand::5211362000,26.15,1569,10617,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:23.195529+00:00,operations,
52110,52110::ambulance_base::001,52110::demand::5211364100,18.35,1101,7936,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:23.443414+00:00,operations,
52110,52110::ambulance_base::001,52110::demand::5211364200,22.216666666666665,1333,9446,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:23.710155+00:00,operations,
52110,52110::ambulance_base::001,52110::demand::5211364300,25.016666666666666,1501,10749,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:23.998034+00:00,operations,
52110,52110::ambulance_base::001,52110::demand::5211365000,24.85,1491,11879,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:24.277583+00:00,operations,
52110,52110::ambulance_base::001,52110::demand::5211366500,23.166666666666668,1390,11324,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:24.580792+00:00,operations,
52110,52110::ambulance_base::001,52110::demand::5211367000,20.566666666666666,1234,9825,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:24.834431+00:00,operations,
52110,52110::ambulance_base::002,52110::demand::5211151000,13.966666666666667,838,5205,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:25.084528+00:00,operations,
52110,52110::ambulance_base::002,52110::demand::5211153000,15.833333333333334,950,5016,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:25.311497+00:00,operations,
52110,52110::ambulance_base::002,52110::demand::5211160500,18.816666666666666,1129,6122,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:25.605034+00:00,operations,
52110,52110::ambulance_base::002,52110::demand::5211163500,12.25,735,4198,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:25.833473+00:00,operations,
52110,52110::ambulance_base::002,52110::demand::5211165000,16.983333333333334,1019,5917,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:26.080635+00:00,operations,
52110,52110::ambulance_base::002,52110::demand::5211166000,17.05,1023,6137,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:26.334124+00:00,operations,
52110,52110::ambulance_base::002,52110::demand::5211167100,8.483333333333333,509,2718,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:26.542631+00:00,operations,
52110,52110::ambulance_base::002,52110::demand::5211167200,5.416666666666667,325,2010,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:26.770843+00:00,operations,
52110,52110::ambulance_base::002,52110::demand::5211168000,9.633333333333333,578,3066,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:26.986935+00:00,operations,
52110,52110::ambulance_base::002,52110::demand::5211169100,14.683333333333334,881,5214,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:27.235710+00:00,operations,
52110,52110::ambulance_base::002,52110::demand::5211169200,13.65,819,4690,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:27.475829+00:00,operations,
52110,52110::ambulance_base::002,52110::demand::5211170100,11.066666666666666,664,3847,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:27.693564+00:00,operations,
52110,52110::ambulance_base::002,52110::demand::5211170200,11.983333333333333,719,3861,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:27.933604+00:00,operations,
52110,52110::ambulance_base::002,52110::demand::5211170300,9.933333333333334,596,3720,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:28.136696+00:00,operations,
52110,52110::ambulance_base::002,52110::demand::5211171100,10.316666666666666,619,3363,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:28.365586+00:00,operations,
52110,52110::ambulance_base::002,52110::demand::5211171200,7.983333333333333,479,2571,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:28.567566+00:00,operations,
52110,52110::ambulance_base::002,52110::demand::5211171300,5.55,333,2138,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:28.790744+00:00,operations,
52110,52110::ambulance_base::002,52110::demand::5211171400,6.6,396,2600,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:28.975553+00:00,operations,
52110,52110::ambulance_base::002,52110::demand::5211173000,3.8666666666666667,232,1326,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:29.179725+00:00,operations,
52110,52110::ambulance_base::002,52110::demand::5211352500,10.65,639,4027,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:29.415797+00:00,operations,
52110,52110::ambulance_base::002,52110::demand::5211354000,18.8,1128,6539,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:29.688968+00:00,operations,
52110,52110::ambulance_base::002,52110::demand::5211355000,17.666666666666668,1060,6729,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:29.948934+00:00,operations,
52110,52110::ambulance_base::002,52110::demand::5211356000,20.583333333333332,1235,6830,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:30.226840+00:00,operations,
52110,52110::ambulance_base::002,52110::demand::5211357000,11.783333333333333,707,4759,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:30.463633+00:00,operations,
52110,52110::ambulance_base::002,52110::demand::5211357500,14.416666666666666,865,5298,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:30.687769+00:00,operations,
52110,52110::ambulance_base::002,52110::demand::5211360000,13.583333333333334,815,5622,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:30.923113+00:00,operations,
52110,52110::ambulance_base::002,52110::demand::5211361100,20.8,1248,8111,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:31.194215+00:00,operations,
52110,52110::ambulance_base::002,52110::demand::5211361200,21.216666666666665,1273,7428,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:31.467645+00:00,operations,
52110,52110::ambulance_base::002,52110::demand::5211362000,23.416666666666668,1405,9364,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:31.766864+00:00,operations,
52110,52110::ambulance_base::002,52110::demand::5211364100,13.766666666666667,826,5500,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:32.002272+00:00,operations,
52110,52110::ambulance_base::002,52110::demand::5211364200,17.75,1065,7010,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:32.251375+00:00,operations,
52110,52110::ambulance_base::002,52110::demand::5211364300,20.866666666666667,1252,8313,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:32.530457+00:00,operations,
52110,52110::ambulance_base::002,52110::demand::5211365000,20.75,1245,9443,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:32.808386+00:00,operations,
52110,52110::ambulance_base::002,52110::demand::5211366500,18.866666666666667,1132,8888,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:33.085965+00:00,operations,
52110,52110::ambulance_base::002,52110::demand::5211367000,16.266666666666666,976,7103,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:33.336052+00:00,operations,
52110,52110::ambulance_base::003,52110::demand::5211151000,7.066666666666666,424,2174,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:33.546820+00:00,operations,
52110,52110::ambulance_base::003,52110::demand::5211153000,2.8833333333333333,173,909,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:33.720160+00:00,operations,
52110,52110::ambulance_base::003,52110::demand::5211160500,8.216666666666667,493,2599,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:33.919844+00:00,operations,
52110,52110::ambulance_base::003,52110::demand::5211163500,7.266666666666667,436,2389,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:34.104336+00:00,operations,
