지역,응급의료기관 종별,기관명,평가종합등급,필수영역,전담의사,전담전문의,전담간호사,전담의사의 전문성,전담간호사의 전문성,병상포화지수,중증상병 해당환자의 재실시간,체류환자 지수,적정시간 내 전문의 직접 진료율,최종치료 제공률,전입중증응급환자 진료 제공률,비고
전북,권역응급의료센터,원광대학교병원,B,PASS,(해당없음),2,1,(해당없음),(해당없음),3,4,(해당없음),1,3,1,
전북,권역응급의료센터,전북대학교병원,B,PASS,(해당없음),2,1,(해당없음),(해당없음),1,3,(해당없음),2,2,1,
전북,지역응급의료센터,전라북도남원의료원,C,FAIL,1,1,2,(해당없음),(해당없음),1,1,(해당없음),1,4,4,
전북,지역응급의료센터,의료법인영경의료재단전주병원,C,PASS,2,1,5,(해당없음),(해당없음),1,1,(해당없음),1,3,3,
전북,지역응급의료센터,재단법인예수병원유지재단예수병원,B,PASS,1,1,1,(해당없음),(해당없음),1,3,(해당없음),1,1,2,
전북,지역응급의료센터,전라북도군산의료원,B,PASS,3,2,2,(해당없음),(해당없음),1,1,(해당없음),1,3,4,
전북,지역응급의료센터,재단법인아산사회복지재단정읍아산병원,B,PASS,2,1,3,(해당없음),(해당없음),1,1,(해당없음),1,4,3,
전북,지역응급의료기관,의료법인석천재단고창병원,C,FAIL,5,4,4,(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),
전북,지역응급의료기관,부안성모병원,C,FAIL,4,4,3,(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),
전북,지역응급의료센터,의료법인대산의료재단익산병원,B,PASS,2,1,3,(해당없음),(해당없음),1,1,(해당없음),1,4,3,
전북,지역응급의료센터,의료법인오성의료재단동군산병원,B,PASS,2,1,3,(해당없음),(해당없음),1,1,(해당없음),1,2,3,
전북,지역응급의료기관,김제우석병원,C,PASS,4,4,4,(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),
전북,지역응급의료센터,대자인병원,A,PASS,2,1,3,(해당없음),(해당없음),1,1,(해당없음),1,1,2,
전북,지역응급의료기관,의료법인영경의료재단호성전주병원,B,PASS,2,2,4,(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),
전북,지역응급의료기관,진안군의료원,A,PASS,1,1,1,(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),
전북,지역응급의료기관,무주군보건의료원,B,PASS,1,1,2,(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),
전북,지역응급의료기관,장수군보건의료원,B,PASS,1,1,1,(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),
전북,지역응급의료기관,순창군보건의료원,B,PASS,1,1,2,(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),
전북,지역응급의료기관,임실군보건의료원,A,PASS,1,1,1,(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),
