sum_yr,sigun_cd,sigun_nm,gout_firesttn_nm,gout_safe_center_nm,dispatch_rows,rows_with_patient_sex
2025,41110,수원시,수원남부소방서,남부119안전센터,7932,5385
2025,41110,수원시,수원남부소방서,지만119안전센터,8851,6143
2025,41110,수원시,수원남부소방서,서둔119안전센터,4789,3493
2025,41110,수원시,수원소방서,정자119안전센터,12053,8816
2025,41110,수원시,수원남부소방서,호매실119안전센터,3809,2845
2025,41110,수원시,수원남부소방서,매산119안전센터,10532,7219
2025,41110,수원시,수원남부소방서,고색119안전센터,4008,2681
2025,41110,수원시,수원남부소방서,권선119안전센터,4960,3327
2025,41110,수원시,수원소방서,원천119안전센터,8223,5823
2025,41110,수원시,수원소방서,영통119안전센터,4552,3362
2025,41110,수원시,수원소방서,파장119안전센터,3338,2522
2025,41110,수원시,수원소방서,이의119안전센터,3737,2512
2025,41130,성남시,분당소방서,서현119안전센터,6537,4816
2025,41130,성남시,분당소방서,수내119안전센터,7143,5041
2025,41130,성남시,분당소방서,구미119안전센터,3971,2934
2025,41130,성남시,분당소방서,서판교119안전센터,1674,1220
2025,41130,성남시,분당소방서,판교119안전센터,3367,2295
2025,41130,성남시,분당소방서,야탑119안전센터,3775,2776
2025,41130,성남시,성남소방서,신흥119안전센터,7882,5941
2025,41130,성남시,성남소방서,고등119안전센터,1564,1022
2025,41130,성남시,성남소방서,단대119안전센터,6524,4941
2025,41130,성남시,성남소방서,태평119안전센터,3444,2763
2025,41130,성남시,성남소방서,위례119안전센터,3214,2298
2025,41130,성남시,성남소방서,하대원119안전센터,6663,4922
2025,41130,성남시,성남소방서,상대원119안전센터,3056,2312
2025,41150,의정부시,의정부소방서,흥선119안전센터,10823,8463
2025,41150,의정부시,의정부소방서,민락119안전센터,2663,2144
2025,41150,의정부시,의정부소방서,호원119안전센터,4094,3359
2025,41150,의정부시,의정부소방서,금오119안전센터,6578,4976
2025,41150,의정부시,의정부소방서,녹양119안전센터,2913,2267
2025,41150,의정부시,의정부소방서,송산119안전센터,3741,2966
2025,41170,안양시,안양소방서,박달119안전센터,3012,1936
2025,41170,안양시,안양소방서,석수119안전센터,4631,3605
2025,41170,안양시,안양소방서,관양119안전센터,3131,2292
2025,41170,안양시,안양소방서,부림119안전센터,8127,5469
2025,41170,안양시,안양소방서,귀인119안전센터,3827,2927
2025,41170,안양시,안양소방서,안양119안전센터,5635,4101
2025,41170,안양시,안양소방서,만안119안전센터,3265,2378
2025,41190,부천시,부천소방서,서부119안전센터,4469,3318
