IDX_525,ALL_TOT,IDX_507,APPN_DE,IDX_519,IDX_530,AREA_CD,IDX_513,ASORT_SE_CD,EVL_ID,FRGLTYPAPR_AT,IDX_709,IDX_719,IDX_739,IDX_715,INSTT_CD,PASS_FAIL,INSTT_NM,IDX_494,IDX_743
(해당없음),B,(해당없음),2023-01-01,1,(해당없음),경기,1,권역응급의료센터,54,N,3,(해당없음),2,4,A2100001,PASS,분당서울대학교병원,3,1
(해당없음),A,(해당없음),2023-05-01,1,(해당없음),경기,1,권역응급의료센터,54,N,2,(해당없음),1,1,A2100002,PASS,아주대학교병원,2,1
(해당없음),B,(해당없음),2023-01-01,1,(해당없음),경기,2,권역응급의료센터,54,N,1,(해당없음),1,3,A2100003,PASS,고려대학교의과대학부속안산병원,1,2
(해당없음),A,(해당없음),2023-01-01,1,(해당없음),경기,1,권역응급의료센터,54,N,1,(해당없음),1,1,A2100004,PASS,한림대학교성심병원,1,1
(해당없음),A,(해당없음),2023-01-01,1,(해당없음),경기,2,권역응급의료센터,54,N,1,(해당없음),1,2,A2100005,PASS,순천향대학교부속부천병원,1,2
(해당없음),B,2,2023-01-01,3,(해당없음),경기,1,지역응급의료센터,54,N,1,(해당없음),1,1,A2100006,PASS,의료법인인봉의료재단뉴고려병원,1,3
(해당없음),B,1,2023-01-01,2,(해당없음),경기,1,지역응급의료센터,54,N,1,(해당없음),4,1,A2100007,PASS,광명성애병원,1,3
(해당없음),A,2,2023-01-01,2,(해당없음),경기,1,지역응급의료센터,54,N,1,(해당없음),1,1,A2100008,PASS,의료법인남촌의료재단시화병원,1,3
(해당없음),B,1,2023-01-01,1,(해당없음),경기,1,지역응급의료센터,54,N,1,(해당없음),1,1,A2100009,PASS,의료법인녹산의료재단동수원병원,1,3
(해당없음),A,1,2023-01-01,1,(해당없음),경기,1,지역응급의료기관,54,N,(해당없음),(해당없음),(해당없음),(해당없음),A2100011,PASS,성남중앙병원,(해당없음),(해당없음)
(해당없음),A,1,2023-01-01,1,(해당없음),경기,1,지역응급의료센터,54,N,1,(해당없음),1,3,A2100012,PASS,가톨릭대학교성빈센트병원,1,1
(해당없음),B,2,2023-01-01,3,(해당없음),경기,1,지역응급의료기관,54,N,(해당없음),(해당없음),(해당없음),(해당없음),A2100013,PASS,의료법인녹향의료재단신천연합병원,(해당없음),(해당없음)
(해당없음),B,1,2023-01-01,1,(해당없음),경기,1,지역응급의료기관,54,N,(해당없음),(해당없음),(해당없음),(해당없음),A2100014,PASS,근로복지공단안산병원,(해당없음),(해당없음)
(해당없음),B,1,2023-01-01,1,(해당없음),경기,1,지역응급의료센터,54,N,1,(해당없음),2,1,A2100015,PASS,효산의료재단안양샘병원,1,3
(해당없음),B,1,2023-01-01,1,(해당없음),경기,1,지역응급의료기관,54,N,(해당없음),(해당없음),(해당없음),(해당없음),A2100016,PASS,순천의료재단정병원,(해당없음),(해당없음)
(해당없음),C,1,2023-01-01,1,(해당없음),경기,1,지역응급의료센터,54,N,1,(해당없음),1,1,A2100017,FAIL,대아의료재단한도병원,1,3
(해당없음),C,3,2023-01-01,3,(해당없음),경기,4,지역응급의료기관,54,N,(해당없음),(해당없음),(해당없음),(해당없음),A2100018,PASS,의료법인은혜와감사의료재단화성중앙종합병원,(해당없음),(해당없음)
(해당없음),B,2,2023-07-01,2,(해당없음),경기,1,지역응급의료센터,54,N,1,(해당없음),1,1,A2100019,PASS,(의)영문의료재단다보스병원,1,4
(해당없음),A,2,2023-01-01,1,(해당없음),경기,1,지역응급의료센터,54,N,1,(해당없음),1,1,A2100020,PASS,연세대학교의과대학용인세브란스병원,1,2
(해당없음),B,3,2023-01-01,3,(해당없음),경기,3,지역응급의료기관,54,N,(해당없음),(해당없음),(해당없음),(해당없음),A2100021,PASS,의료법인플러스의료재단단원병원,(해당없음),(해당없음)
(해당없음),A,1,2023-01-01,1,(해당없음),경기,1,지역응급의료기관,54,N,(해당없음),(해당없음),(해당없음),(해당없음),A2100022,PASS,의료법인박애의료재단박애병원,(해당없음),(해당없음)
(해당없음),B,1,2023-01-01,2,(해당없음),경기,1,지역응급의료센터,54,N,1,(해당없음),1,1,A2100024,PASS,오산한국병원,1,3
(해당없음),A,2,2023-01-01,3,(해당없음),경기,2,지역응급의료센터,54,N,1,(해당없음),1,1,A2100025,PASS,대진의료재단분당제생병원,2,1
(해당없음),A,1,2023-01-01,1,(해당없음),경기,1,지역응급의료기관,54,N,(해당없음),(해당없음),(해당없음),(해당없음),A2100027,PASS,의료법인석경의료재단센트럴병원,(해당없음),(해당없음)
(해당없음),A,2,2023-01-01,2,(해당없음),경기,1,지역응급의료센터,54,N,1,(해당없음),1,1,A2100028,PASS,의료법인백송의료재단굿모닝병원,1,2
