municipality_code,staged_hospital_name,staged_road_address,hira_hospital_name,hira_address,encrypted_care_symbol,institution_type,snapshot_period,capacity_semantics,match_method,match_score,match_review_required,일반입원실상급병상수,일반입원실일반병상수,성인중환자병상수,소아중환자병상수,신생아중환자병상수,분만실병상수,수술실병상수,응급실병상수,정신과폐쇄상급병상수,정신과폐쇄일반병상수,정신과개방상급병상수,정신과개방일반병상수,격리병실병상수,무균치료실병상수,critical_care_beds_total,inpatient_beds_total_from_reported_fields,registered_special_services,registered_emergency_institution,registered_adult_icu,registered_pediatric_icu,registered_neonatal_icu,registered_tavi,registered_ventricular_assist_device,ct_units,mri_units,pet_units
41110,경기도의료원 수원병원,경기도 수원시 장안구 수성로245번길 69,경기도의료원 수원병원,"경기도 수원시 장안구 수성로245번길 69, (정자동)",JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQxMyQ0NjE0ODEjODEjJDEjJDIjJDgz,종합병원,2026-06,HIRA static facility snapshot; not real-time availability,exact_normalized_name,1.0,False,8,104,9,0,0,1,3,13,0,0,0,0,35,0,9,156,HPV 국가예방접종사업 참여기관 | 가정간호실시기관 | 간호간병통합서비스 제공기관 | 결핵환자 재택의료 시범기관 | 보훈위탁진료요양기관 | 성인 중환자실 | 외국인 근로자 등 의료지원 사업시행 의료기관 | 응급의료기관 | 일차의료 방문진료 수가 시범기관 | 장애인 치과 주치의 시범기관,True,True,False,False,False,False,1,1,0
41110,동수원병원,경기도 수원시 팔달구 중부대로 165,의료법인 녹산의료재단동수원병원,"경기도 수원시 팔달구 중부대로 165, (우만동)",JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4OSQ0NjE0ODEjNDEjJDEjJDQjJDgz,종합병원,2026-06,HIRA static facility snapshot; not real-time availability,fuzzy_name_address,1.0,False,24,345,23,0,0,2,5,20,0,0,0,0,1,0,23,393,HPV 국가예방접종사업 참여기관 | 간호간병통합서비스 제공기관 | 결핵환자 재택의료 시범기관 | 보훈위탁진료요양기관 | 성인 중환자실 | 수면다원검사 실시기관 | 응급의료기관 | 의·한협진 활성화를 위한 5단계 시범기관 | 측두하악관절자극요법 실시기관,True,True,False,False,False,False,2,2,0
41110,명인의료재단 화홍병원,경기도 수원시 권선구 호매실로90번길 98,의료법인 명인의료재단 화홍병원,"경기도 수원시 권선구 호매실로90번길 98, (호매실동)",JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQyIyQ3IyQwMCQ0NjEwMDIjODEjJDEjJDYjJDgz,종합병원,2026-06,HIRA static facility snapshot; not real-time availability,fuzzy_name_address,1.0,False,14,214,30,0,0,1,6,20,0,0,0,0,0,0,30,258,HPV 국가예방접종사업 참여기관 | 간호간병통합서비스 제공기관 | 성인 중환자실 | 응급의료기관,True,True,False,False,False,False,2,2,0
41110,성빈센트병원,경기도 수원시 팔달구 중부대로 93,가톨릭대학교 성빈센트병원,"경기도 수원시 팔달구 중부대로 93, (지동)",JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQzNjEwMDIjODEjJDEjJDIjJDgz,상급종합,2026-06,HIRA static facility snapshot; not real-time availability,fuzzy_name_address,1.0,False,48,609,73,0,18,2,20,45,0,30,0,0,11,6,91,795,HPV 국가예방접종사업 참여기관 | 가정간호실시기관 | 가정형 호스피스전문기관 | 간호간병통합서비스 제공기관 | 결핵환자 재택의료 시범기관 | 경피적 대동맥판삽입 실시기관 | 경피적 좌심방이 폐색술 실시기관 | 복막투석 환자 재택관리 시범기관 | 상급종합병원 심층진찰 시범기관 | 선천성 악안면 기형의 치과교정 및 악정형 치료 실시기관 | 성인 중환자실 | 수면다원검사 실시기관 | 신생아 중환자실 | 심장질환자 재택의료 시범기관 | 암환자 재택의료 시범기관 | 응급의료기관 | 인공와우 실시기관 | 입원형 호스피스전문기관 | 자문형 호스피스전문기관 | 제3차의료급여기관 | 조혈모세포이식 실시기관 | 차세대염기서열분석 기반 유전자 패널검사 실시기관,True,True,False,True,True,False,6,4,1
41110,수원윌스기념병원,경기도 수원시 팔달구 경수대로 437,의료법인 토마스의료재단 윌스기념병원,"경기도 수원시 팔달구 경수대로 437, (인계동)",JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQ3IyQ2MiQyNjE4MzIjNzEjJDEjJDgjJDgz,종합병원,2026-06,HIRA static facility snapshot; not real-time availability,fuzzy_name_address,0.8625,False,6,266,19,0,0,1,10,21,0,0,0,0,6,0,19,297,HPV 국가예방접종사업 참여기관 | 가정간호실시기관 | 간호간병통합서비스 제공기관 | 비대면진료 시범사업 진료기관(의료기관) | 성인 중환자실 | 수면다원검사 실시기관 | 외국인 근로자 등 의료지원 사업시행 의료기관 | 응급의료기관,True,True,False,False,False,False,3,4,0
41110,아주대학교병원,경기도 수원시 영통구 월드컵로 164,아주대학교병원,"경기도 수원시 영통구 월드컵로 164, (원천동)",JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ2MiQzNjE4MzIjNTEjJDEjJDYjJDgz,상급종합,2026-06,HIRA static facility snapshot; not real-time availability,exact_normalized_name,1.0,False,52,833,124,0,36,2,32,52,0,20,0,0,24,2,160,1091,(정신질환)병원기반 시범기관 | 1형 당뇨병 환자 재택의료 시범기관 | 가정간호실시기관 | 가정형 호스피스전문기관 | 간호간병통합서비스 제공기관 | 개방병원 | 결핵환자 재택의료 시범기관 | 경피적 대동맥판삽입 실시기관 | 경피적 좌심방이 폐색술 실시기관 | 난임시술(인공) | 난임시술(체외) | 복막투석 환자 재택관리 시범기관 | 상급종합병원 심층진찰 시범기관 | 선천성 악안면 기형의 치과교정 및 악정형 치료 실시기관 | 성인 중환자실 | 수면다원검사 실시기관 | 신생아 중환자실 | 신속대응시스템 시범기관 | 심실 보조장치 치료술 실시기관(이식형) | 암환자 재택의료 시범기관 | 응급의료기관 | 인공와우 실시기관 | 입원형 호스피스전문기관 | 자문형 호스피스전문기관 | 제3차의료급여기관 | 조혈모세포이식 실시기관 | 차세대염기서열분석 기반 유전자 패널검사 실시기관 | 측두하악관절자극요법 실시기관,True,True,False,True,True,True,9,6,2
41110,의료법인덕산의료재단 수원덕산병원,경기도 수원시 권선구 서부로 1674(고색동),의료법인 덕산의료재단 수원덕산병원,"경기도 수원시 권선구 서부로 1674, (고색동)",JDU4MTI3MSM1MSMkMSMkNCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQyNjEyMjIjNDEjJDEjJDQjJDgz,종합병원,2026-06,HIRA static facility snapshot; not real-time availability,exact_normalized_name,1.0,False,66,340,27,0,0,3,9,30,0,0,0,0,5,0,27,438,HPV 국가예방접종사업 참여기관 | 난임시술(인공) | 성인 중환자실 | 응급의료기관,True,True,False,False,False,False,3,2,1
41130,국군수도병원,경기도 성남시 분당구 새마을로177번길 81,국군수도병원,"경기도 성남시 분당구 새마을로177번길 81, (율동)",JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5MiQzNjEwMDIjODEjJDEjJDYjJDgz,종합병원,2026-06,HIRA static facility snapshot; not real-time availability,exact_normalized_name,1.0,False,13,594,34,0,0,0,10,28,0,16,1,14,8,0,34,680,성인 중환자실 | 응급의료기관,True,True,False,False,False,False,3,4,1
41130,분당서울대병원,경기도 성남시 분당구 구미로173번길 82,분당서울대학교병원,"경기도 성남시 분당구 구미로173번길 82, (구미동, 분당서울대학교병원)",JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQwMyQyNjEwMDIjNTEjJDEjJDYjJDgz,상급종합,2026-06,HIRA static facility snapshot; not real-time availability,fuzzy_name_address,0.93125,False,57,974,79,6,50,4,39,42,1,14,2,24,19,18,135,1244,(정신질환)병원기반 시범기관 | 1형 당뇨병 환자 재택의료 시범기관 | HPV 국가예방접종사업 참여기관 | 가정간호실시기관 | 가정용 인공호흡기 환자 재택의료 시범기관 | 간호간병통합서비스 제공기관 | 결핵환자 재택의료 시범기관 | 경피적 대동맥판삽입 실시기관 | 경피적 좌심방이 폐색술 실시기관 | 난임시술(인공) | 난임시술(체외) | 복막투석 환자 재택관리 시범기관 | 비대면진료 시범사업 진료기관(의료기관) | 상급종합병원 심층진찰 시범기관 | 선천성 악안면 기형의 치과교정 및 악정형 치료 실시기관 | 성인 중환자실 | 소아 중환자실 | 수면다원검사 실시기관 | 신생아 중환자실 | 신속대응시스템 시범기관 | 심실 보조장치 치료술 실시기관(체외형&이식형) | 심장질환자 재택의료 시범기관 | 암환자 재택의료 시범기관 | 암환자(요루) 재택의료 시범기관 | 응급의료기관 | 인공와우 실시기관 | 자문형 호스피스전문기관 | 장애인 건강 주치의 시범기관(방문진료 실시기관) | 장애인 건강 주치의 시범기관(전체) | 재활환자 재택의료 시범기관 | 제3차의료급여기관 | 조혈모세포이식 실시기관 | 중증소아 재택의료 시범기관 | 차세대염기서열분석 기반 유전자 패널검사 실시기관 | 측두하악관절자극요법 실시기관,True,True,True,True,True,True,13,11,2
41130,분당제생병원,경기도 성남시 분당구 서현로180번길 20,대진의료재단 분당제생병원,"경기도 성남시 분당구 서현로180번길 20, (서현동)",JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3MiQzNjE4MzIjNDEjJDEjJDgjJDgz,종합병원,2026-06,HIRA static facility snapshot; not real-time availability,fuzzy_name_address,1.0,False,35,435,36,0,3,2,9,30,0,0,1,4,2,0,39,516,HPV 국가예방접종사업 참여기관 | 가정간호실시기관 | 간호간병통합서비스 제공기관 | 성인 중환자실 | 수면다원검사 실시기관 | 신생아 중환자실 | 응급의료기관 | 인공와우 실시기관 | 측두하악관절자극요법 실시기관,True,True,False,True,False,False,5,3,1
