연번,의료기관명,의료기관종별,의료기관주소(도로명),의료기관전화번호,관리기관명
1,양주시보건소,보건소,경기도 양주시 부흥로 1533 (남방동),031-8082-7116,양주시 보건행정과
2,매곡보건진료소,보건진료소,경기도 양주시 남면 휴암로443번길 29-4 (매곡보건진료소),031-8082-4850,양주시 보건행정과
3,연곡보건진료소,보건진료소,경기도 양주시 백석읍 부흥로419번길 26,031-878-6290,양주시 보건행정과
4,봉암보건진료소,보건진료소,경기도 양주시 은현면 봉암14길 6 (봉암보건진료소),031-863-5340,양주시 보건행정과
5,은남통합보건지소,보건지소,경기도 양주시 은현면 화합로610번길 161-13,031-8082-7108,양주시 보건행정과
6,장흥보건지소,보건지소,경기도 양주시 장흥면 권율로 7,031-8082-7190,양주시 보건행정과
7,경청한의원,한의원,"경기도 양주시 옥정로 200, 옥정 시네마엠디프라자 301,302호 (옥정동)",031-951-9357,양주시 보건행정과
8,비룡한의원,한의원,"경기도 양주시 남면 감악산로 226, 통합생활관 건물 1층 일부",031-863-5613,양주시 보건행정과
9,더진심한의원,한의원,"경기도 양주시 회천중앙로 236, 노블프라자 3층 305, 306호 (덕계동)",031-894-4575,양주시 보건행정과
10,365생생한의원,한의원,"경기도 양주시 회천중앙로 240, 3층 301,302호 (덕계동)",031-861-1075,양주시 보건행정과
11,옥정바른한의원,한의원,"경기도 양주시 옥정서로 227, 403호 (옥정동)",031-928-4881,양주시 보건행정과
12,백세한의원,한의원,"경기도 양주시 옥정로 208, 선양프라자 4층 404호 (옥정동)",031-863-7458,양주시 보건행정과
13,365경희사계한의원,한의원,"경기도 양주시 옥정로 208, 선양프라자 301호, 302호, 303호 (옥정동)",1660-3654,양주시 보건행정과
14,경희온마음한의원,한의원,"경기도 양주시 옥정로 196, 파스텔시티 3층 304호 (옥정동)",031-928-6845,양주시 보건행정과
15,양주S한의원,한의원,"경기도 양주시 회천남로 92, 센타프라자  2층 203, 204호 (옥정동)",031-867-7500,양주시 보건행정과
16,감동한의원,한의원,"경기도 양주시 옥정로 142, 3층 303~304호 (옥정동)",031-866-1075,양주시 보건행정과
17,덕정맑은몸한의원,한의원,"경기도 양주시 회정로 134, 두리테크  2층 203호 (덕정동)",031-928-7227,양주시 보건행정과
18,옥정경희한의원,한의원,"경기도 양주시 회천남로 92, 센타프라자 4층 403호 (옥정동)",031-859-1078,양주시 보건행정과
19,송추한의원,한의원,"경기도 양주시 장흥면 호국로 557-1, 2층",031-877-1075,양주시 보건행정과
20,경희선한의원,한의원,"경기도 양주시 옥정로 204, 한길프라자 305,306,307호 (옥정동)",031-928-5637,양주시 보건행정과
21,다조은한의원,한의원,"경기도 양주시 고읍남로 6-10, 한솔프라자 2층 201호  (광사동)",031-928-4075,양주시 보건행정과
22,묘향산한의원,한의원,경기도 양주시 옥정동로4길 11 (옥정동),031-841-8930,양주시 보건행정과
23,정담은한의원,한의원,"경기도 양주시 옥정동로 274, 303호 (옥정동)",031-862-5551,양주시 보건행정과
24,예천박한의원,한의원,"경기도 양주시 광적면 가래비12길 11-15, 3층",031-877-7581,양주시 보건행정과
25,보감한의원,한의원,"경기도 양주시 고암길 358 (덕정동, 인아프라자 106호)",031-859-5900,양주시 보건행정과
26,버들한의원,한의원,경기도 양주시 백석읍 꿈나무로 305 (동화1차아파트 상가 3층),031-837-5565,양주시 보건행정과
27,경희소나무한의원,한의원,경기도 양주시 평화로 1485 (덕계동),031-894-5700,양주시 보건행정과
28,자연애한의원,한의원,"경기도 양주시 고읍남로 2 (광사동, 해동월드타워 403호)",031-845-1075,양주시 보건행정과
29,경희사랑채한의원,한의원,"경기도 양주시 화합로 1363, 아트시티 5층 501~503호 (덕정동)",031-861-3175,양주시 보건행정과
