장소유형,담당부서,장소명,읍면동 구분,소재지도로명주소,소재지지번주소,연락처,홈페이지,위도,경도,데이터기준일자,비고
공공의료,보건행정과,강천보건지소,강천면,경기도 여주시 강천면 강문로 586,경기도 여주시 강천면 간매리 271-4,031-887-3649,https://www.yeoju.go.kr/health,37.27212543,127.7123018,2025-12-16,
공공의료,보건행정과,강천보건진료소,강천면,경기도 여주시 강천면 강천리길 62-1,경기도 여주시 강천면 강천리 607-3,031-887-3663,https://www.yeoju.go.kr/health,37.23613394,127.7096378,2025-12-16,
공공의료,건강증진과,경기 여주공공산후조리원,여흥동,경기도 여주시 여흥로160번길 16,경기도 여주시 상동 357,031-881-9500,http://www.gypc.or.kr,37.29457207,127.6395096,2025-12-16,
공공의료,보건행정과,금당보건진료소,가남읍,경기도 여주시 가남읍 금당리길 108,경기도 여주시 가남읍 금당리 168-5,031-887-3654,https://www.yeoju.go.kr/health,37.20163999,127.6211011,2025-12-16,
공공의료,보건행정과,금사보건지소,금사면,경기도 여주시 금사면 이포로 27,경기도 여주시 금사면 이포리 197-3,031-887-3645,https://www.yeoju.go.kr/health,37.39257969,127.5333597,2025-12-16,
공공의료,보건행정과,뇌곡보건진료소,점동면,경기도 여주시 점동면 성주로 591,경기도 여주시 점동면 뇌곡리 173-12,031-887-3652,https://www.yeoju.go.kr/health,37.16332588,127.6604585,2025-12-16,
공공의료,보건행정과,대신보건지소,대신면,경기도 여주시 대신면 율촌1길 47,경기도 여주시 대신면 율촌리 331,031-887-3647,https://www.yeoju.go.kr/health,37.37361824,127.5872368,2025-12-16,
공공의료,보건행정과,도전보건진료소,강천면,경기도 여주시 강천면 원심동1길 32,경기도 여주시 강천면 도전리 641-1,031-887-3662,https://www.yeoju.go.kr/health,37.34823539,127.7486012,2025-12-16,
공공의료,보건행정과,매류보건진료소,세종대왕면,경기도 여주시 세종대왕면 양화로 621,경기도 여주시 세종대왕면 매류리 325-2,031-887-3656,https://www.yeoju.go.kr/health,37.27582825,127.5585098,2025-12-16,
공공의료,보건행정과,백석보건진료소,세종대왕면,경기도 여주시 세종대왕면 능서로 495,경기도 여주시 세종대왕면 내양리 345-344,031-887-3657,https://www.yeoju.go.kr/health,37.33721862,127.583857,2025-12-16,
공공의료,보건행정과,북내보건지소,북내면,경기도 여주시 북내면 당우2길 10,경기도 여주시 북내면 당우리 168-17,031-887-3648,https://www.yeoju.go.kr/health,37.32895459,127.6780781,2025-12-16,
공공의료,보건행정과,산북보건지소,산북면,경기도 여주시 산북면 상품로 93,경기도 여주시 산북면 상품리 121,031-887-3646,https://www.yeoju.go.kr/health,37.40206306,127.442956,2025-12-16,
공공의료,보건행정과,삼승보건진료소,가남읍,경기도 여주시 가남읍 삼정길 5,경기도 여주시 가남읍 삼승리 76-2,031-887-3653,https://www.yeoju.go.kr/health,37.17514394,127.6353421,2025-12-16,
공공의료,보건행정과,상구보건진료소,대신면,경기도 여주시 대신면 상구2길 3,경기도 여주시 대신면 상구리 344-2,031-887-3660,https://www.yeoju.go.kr/health,37.37311827,127.6417904,2025-12-16,
공공의료,보건행정과,세종대왕보건지소,세종대왕면,경기도 여주시 세종대왕면 양화로 913,경기도 여주시 세종대왕면 신지리 262-1,031-887-3643,https://www.yeoju.go.kr/health,37.29720158,127.5716126,2025-12-16,
공공의료,보건행정과,송촌보건진료소,대신면,경기도 여주시 대신면 여양1로 218,경기도 여주시 대신면 송촌리 413-1,031-887-3659,https://www.yeoju.go.kr/health,37.40996105,127.5675644,2025-12-16,
공공의료,건강증진과,여주시남부치매안심센터,점동면,경기도 여주시 점동면 청안로 130-6,경기도 여주시 점동면 청안리 130-8,031-887-3490,https://www.yeoju.go.kr/health,37.20571644,127.6624169,2025-12-16,
공공의료,보건행정과,여주시보건소,여흥동,경기도 여주시 여흥로160번길 14,경기도 여주시 상동 357,031-887-3603,https://www.yeoju.go.kr/health,37.29460883,127.6403935,2025-12-16,
공공의료,건강증진과,여주시북부치매안심센터,대신면,경기도 여주시 대신면 풍양1길 16,경기도 여주시 대신면 율촌리 306-1,031-887-3497,https://www.yeoju.go.kr/health,37.37205432,127.5852426,2025-12-16,
공공의료,건강증진과,여주시정신건강복지센터(부설)자살예방센터,여흥동,"경기도 여주시 여흥로160번길 12, 2층",경기도 여주시 상동 357,031-887-3435,https://www.yeojumind.com,37.29477832,127.6399084,2025-12-16,
공공의료,건강증진과,여주시치매안심센터 가남분소,가남읍,경기도 여주시 가남읍 태평중앙1길 20,경기도 여주시 가남읍 태평리 138-8,031-887-3642,https://www.yeoju.go.kr/health,37.20165418,127.5448729,2025-12-16,
공공의료,건강증진과,여주시치매안심센터 흥천분소,흥천면,경기도 여주시 흥천면 효자로 131-12,경기도 여주시 흥천면 효지리 214-1,031-887-3644,https://www.yeoju.go.kr/health,37.33131503,127.5431287,2025-12-16,
공공의료,보건행정과,오산보건진료소,가남읍,경기도 여주시 가남읍 오산1길 5,경기도 여주시 가남읍 오산리 393-1,031-887-3655,https://www.yeoju.go.kr/health,37.23757628,127.5570984,2025-12-16,
공공의료,보건행정과,장안보건진료소,점동면,경기도 여주시 점동면 안평로 284-3,경기도 여주시 점동면 장안리 496-1,031-887-3651,https://www.yeoju.go.kr/health,37.20378652,127.7120982,2025-12-16,
공공의료,보건행정과,점동보건지소,점동면,경기도 여주시 점동면 청안2길 20,경기도 여주시 점동면 청안리 660-1,031-887-3641,https://www.yeoju.go.kr/health,37.2039201,127.6599257,2025-12-16,
