시도,시군구,보건기관명,상위기관명,기관유형,대표 전화번호,주소,홈페이지 주소,정규화시군,후보해석상태
경기도,수원시 장안구,장안구보건소,,보건소,031-5191-0119,"경기도 수원시 장안구 송원로 101 (조원동, 장안구청, 장안보건소, 장안종합구민회관), 장안보건소 장안구보건소",https://health.suwon.go.kr/,수원시,requires_planning_review_existing_public_health_facility
경기도,수원시 권선구,수원시권선구보건소,,보건소,031-5191-0318,"경기도 수원시 권선구 호매실로 22-50 (탑동, 권선구보건소) 권선구보건소",https://health.suwon.go.kr/,수원시,requires_planning_review_existing_public_health_facility
경기도,수원시 팔달구,팔달구보건소,,보건소,031-5191-0521,"경기도 수원시 팔달구 팔달산로 6 (교동, 팔달구 보건소) 팔달구보건소",https://health.suwon.go.kr,수원시,requires_planning_review_existing_public_health_facility
경기도,수원시 영통구,영통구보건소,,보건소,031-5191-0718,"경기도 수원시 영통구 영통로 396 (영통동, 영통구보건소) 영통구보건소",https://health.suwon.go.kr,수원시,requires_planning_review_existing_public_health_facility
경기도,성남시 수정구,성남시수정구보건소,,보건소,031-729-3870,"경기도 성남시 수정구 수정로 218 (신흥동, 수정구보건소) 수정구보건소",https://www.seongnam.go.kr/health/,성남시,requires_planning_review_existing_public_health_facility
경기도,성남시 중원구,성남시중원구보건소,,보건소,031-729-3930,"경기도 성남시 중원구 금상로 137 (상대원동, 노인보건센터, 중원구보건소), 중원구보건소 중원구보건소",https://www.seongnam.go.kr/health,성남시,requires_planning_review_existing_public_health_facility
경기도,성남시 분당구,성남시분당구보건소,,보건소,031-729-3990,"경기도 성남시 분당구 양현로 306 (야탑동, 분당보건소) 분당구보건소",http://www.seongnam.go.kr/health/,성남시,requires_planning_review_existing_public_health_facility
경기도,의정부시,의정부시보건소,,보건소,031-870-6010,"경기도 의정부시 범골로 131 (의정부동, 의정부시보건소) 의정부시보건소",https://www.ui4u.go.kr/health/main.do,의정부시,requires_planning_review_existing_public_health_facility
경기도,안양시 만안구,안양시 만안구보건소,,보건소,031-8045-3472,"경기도 안양시 만안구 문예로 48 (안양동, 만안구보건소) 만안구보건소",https://www.anyang.go.kr/health/index.do,안양시,requires_planning_review_existing_public_health_facility
경기도,안양시 동안구,안양시 동안구보건소,,보건소,031-8045-4472,"경기도 안양시 동안구 평촌대로253번길 41 (비산동, 동안구보건소) 동안구보건소",https://www.anyang.go.kr/health/index.do,안양시,requires_planning_review_existing_public_health_facility
경기도,부천시 원미구,부천시보건소,,보건소,032-625-4225,"경기도 부천시 원미구 옥산로10번길 16 (중동, 부천시보건소) 부천시보건소",http://pubhealth.bucheon.go.kr/site/main/index161,부천시,requires_planning_review_existing_public_health_facility
경기도,부천시 소사구,소사보건소,,보건소,032-625-4252,"경기도 부천시 소사구 경인옛로 73 (소사본동, 소사구청) 1층,2층",pubhealth.bucheon.go.kr,부천시,requires_planning_review_existing_public_health_facility
경기도,부천시 오정구,부천시 오정보건소,,보건소,032-625-4373,"경기도 부천시 오정구 성오로 172 (오정동, 오정구청) 1,2층 오정보건소",https://pubhealth.bucheon.go.kr,부천시,requires_planning_review_existing_public_health_facility
경기도,광명시,광명시보건소,,보건소,02-2680-2862,"경기도 광명시 오리로 613 (하안동, 광명시보건소) 광명시보건소",https://www.gm.go.kr/health/index.do,광명시,requires_planning_review_existing_public_health_facility
경기도,평택시,평택시평택보건소,,보건소,031-8024-5559,경기도 평택시 평택5로 56 (비전동) 평택보건소,https://www.pyeongtaek.go.kr/health/main.do,평택시,requires_planning_review_existing_public_health_facility
경기도,평택시,평택시송탄보건소,,보건소,031-8024-6615,"경기도 평택시 서정로 295 (서정동, 송탄보건소) .",https://www.pyeongtaek.go.kr/health/main.do,평택시,requires_planning_review_existing_public_health_facility
경기도,동두천시,동두천시보건소,,보건소,031-860-3372,"경기도 동두천시 중앙로 167 (생연동, 동두천시보건소) 동두천시보건소",https://www.ddc.go.kr/,동두천시,requires_planning_review_existing_public_health_facility
경기도,안산시 상록구,안산시상록수보건소,,보건소,031-481-5551,"경기도 안산시 상록구 차돌배기로1길 5 (사동, 상록수보건소) 상록수보건소",https://www.ansan.go.kr/snshealth/main/main.do,안산시,requires_planning_review_existing_public_health_facility
경기도,안산시 단원구,안산시단원보건소,,보건소,031-481-6347,"경기도 안산시 단원구 화랑로 250 (초지동, 단원구청, 단원보건소) 단원보건소",https://www.ansan.go.kr/health/main/main.do,안산시,requires_planning_review_existing_public_health_facility
경기도,고양시 덕양구,고양시덕양구보건소,,보건소,031-8075-4006,"경기도 고양시 덕양구 원당로33번길 28 (주교동, 덕양구보건소) 주교동 603지번",https://www.goyang.go.kr/health/index.do,고양시,requires_planning_review_existing_public_health_facility
경기도,고양시 일산동구,일산동구보건소,,보건소,031-8075-4087,경기도 고양시 일산동구 중앙로 1100 (백석동) 일산동구보건소,https://www.goyang.go.kr/health/index.do,고양시,requires_planning_review_existing_public_health_facility
경기도,고양시 일산서구,일산서구보건소,,보건소,031-8075-4160,"경기도 고양시 일산서구 일중로 54 (일산동, 일산서구보건소) 일산서구보건소",https://www.goyang.go.kr/health/health01/health01_6/health01_6_1.jsp,고양시,requires_planning_review_existing_public_health_facility
경기도,과천시,과천시보건소,,보건소,02-2150-3801,"경기도 과천시 관문로 69 (중앙동, 과천시청), 과천시 보건소 과천시보건소",https://www.gccity.go.kr/ghc/main.do,과천시,requires_planning_review_existing_public_health_facility
경기도,구리시,구리시보건소,,보건소,031-550-8967,"경기도 구리시 건원대로34번길 84 (인창동, 구리시 보건소) 구리시 보건소",https://www.guri.go.kr/health/index.do,구리시,requires_planning_review_existing_public_health_facility
경기도,남양주시,남양주보건소,,보건소,031-590-8888,"경기도 남양주시 경춘로 522 (다산동, 남양주시청제2청사), 보건소 제2청사 ",https://www.nyj.go.kr/health/4267,남양주시,requires_planning_review_existing_public_health_facility
경기도,남양주시,남양주동부보건소,,보건소,031-590-8040,경기도 남양주시 화도읍 비룡로 59 (화도수동행정복지센터) 별관,해당사항없음,남양주시,requires_planning_review_existing_public_health_facility
경기도,남양주시,남양주풍양보건소,,보건소,031-590-4771,경기도 남양주시 진접읍 해밀예당1로 30-39 남양주풍양보건소,https://www.nyj.go.kr/health/index.do,남양주시,requires_planning_review_existing_public_health_facility
경기도,오산시,오산시보건소,,보건소,031-8036-6025,"경기도 오산시 경기동로 59 (오산동, 오산시보건소) 오산시보건소",https://www.osan.go.kr/depart/contents.do?mId=0502070000,오산시,requires_planning_review_existing_public_health_facility
경기도,시흥시,시흥시보건소,,보건소,031-310-5815,"경기도 시흥시 호현로 55 (대야동, 시흥시보건소대야종합사회복지관) 시흥시보건소",https://www.siheung.go.kr/portal/contents.do?mId=0307010000,시흥시,requires_planning_review_existing_public_health_facility
경기도,군포시,군포시보건소,,보건소,031-461-5464,"경기도 군포시 군포로 221 (부곡동, 군포시보건소) 군포시보건소",https://www.gunpo.go.kr/health/index.do,군포시,requires_planning_review_existing_public_health_facility
경기도,의왕시,의왕시보건소,,보건소,031-345-3541,"경기도 의왕시 오봉로 34 (고천동, 의왕시보건소), 본관동 보건소",http://www.uiwang.go.kr/heal/index,의왕시,requires_planning_review_existing_public_health_facility
경기도,하남시,하남시보건소,,보건소,031-790-6555,"경기도 하남시 대청로 10 (신장동, 하남시청), 보건소 하남시보건소",https://www.hanam.go.kr/health/index.do,하남시,requires_planning_review_existing_public_health_facility
경기도,용인시 처인구,처인구보건소,,보건소,031-6193-0005,"경기도 용인시 처인구 중부대로 1199 (삼가동, 용인시청), 보건소 처인구 보건소",https://www.yongin.go.kr/health/index.do,용인시,requires_planning_review_existing_public_health_facility
경기도,용인시 기흥구,기흥구보건소,,보건소,031-6193-0263,"경기도 용인시 기흥구 신갈로58번길 11 (신갈동, 신갈동행정복지센터및기흥구보건소) 기흥구보건소",https://www.yongin.go.kr/health/index.do,용인시,requires_planning_review_existing_public_health_facility
경기도,용인시 수지구,수지구보건소,,보건소,031-6193-0760,"경기도 용인시 수지구 포은대로 435 (풍덕천동, 수지구청, 보건소), 수지구보건소 수지구보건소",https://www.yongin.go.kr/health/index.do,용인시,requires_planning_review_existing_public_health_facility
경기도,파주시,파주보건소,,보건소,031-940-4800,"경기도 파주시 후곡로 13 (금촌동, 파주시보건소) 파주보건소",https://clinic.paju.go.kr/clinic/index.do,파주시,requires_planning_review_existing_public_health_facility
경기도,파주시,운정보건소,,보건소,031-820-7300,경기도 파주시 금바위로 44 (와동동) 운정보건소,https://clinic.paju.go.kr/clinic/index.do,파주시,requires_planning_review_existing_public_health_facility
경기도,이천시,이천시보건소,,보건소,031-6190-7010,"경기도 이천시 부악로 36 (중리동), 이천시보건소 이천시보건소",https://www.icheon.go.kr/depart/health/main.do?mid=0601000000&token=1726016739899,이천시,requires_planning_review_existing_public_health_facility
경기도,안성시,안성시보건소,,보건소,031-678-5710,"경기도 안성시 강변로74번길 18 (도기동, 안성시보건소) 안성시보건소",https://www.anseong.go.kr/health/main.do,안성시,requires_planning_review_existing_public_health_facility
경기도,김포시,김포시보건소,,보건소,031-5186-4005,"경기도 김포시 사우중로 108 (사우동, 김포시 보건소) 단독건물",https://www.gimpo.go.kr/health/index.do,김포시,requires_planning_review_existing_public_health_facility
경기도,화성시,화성시서부보건소,,보건소,031-5189-2551,경기도 화성시 향남읍 3.1만세로 1055 (화성시보건소) 화성시서부보건소,https://www.hscity.go.kr/health/index.do,화성시,requires_planning_review_existing_public_health_facility
경기도,화성시,화성시동탄보건소,,보건소,031-5189-4360,"경기도 화성시 노작로 226-9 (석우동, 동탄보건지소) 동탄보건소",https://www.hscity.go.kr/health/index.do,화성시,requires_planning_review_existing_public_health_facility
경기도,화성시,화성시동부보건소,,보건소,031-5189-4430,"경기도 화성시 병점구 떡전골로 72-3 (병점동) 2,3층(리치프라자)",https://www.hscity.go.kr/health/index.do,화성시,requires_planning_review_existing_public_health_facility
경기도,광주시,광주시보건소,,보건소,031-760-2110,"경기도 광주시 파발로 194 (경안동, 광주시 보건소) 광주시보건소",https://www.gjcity.go.kr,광주시,requires_planning_review_existing_public_health_facility
경기도,양주시,양주시보건소,,보건소,031-8082-7106,"경기도 양주시 부흥로 1533 (남방동, 양주시보건소,양주시의회,양주시청) 양주시보건소",https://www.yangju.go.kr/health/index.do,양주시,requires_planning_review_existing_public_health_facility
경기도,포천시,포천시보건소,,보건소,031-538-3600,"경기도 포천시 포천로 1612 (신읍동, 포천시보건소) 포천시 보건소",https://www.pocheon.go.kr/pbhlth/index.do,포천시,requires_planning_review_existing_public_health_facility
경기도,여주시,여주시보건소,,보건소,031-887-3601,"경기도 여주시 여흥로160번길 14 (상동, 여주시보건소) .",https://www.yeoju.go.kr/health/index.do,여주시,requires_planning_review_existing_public_health_facility
경기도,연천군,연천군보건의료원,,보건의료원,031-839-4001,경기도 연천군 전곡읍 은대성로 95 (연천군보건의료원) 연천군보건의료원,www.yeoncheon.go.kr,연천군,requires_planning_review_existing_public_health_facility
경기도,가평군,가평군보건소,,보건소,031-582-2488,경기도 가평군 가평읍 가화로 155-18 (가평군보건소) 가평군보건소,https://gp.go.kr/health/index.do,가평군,requires_planning_review_existing_public_health_facility
경기도,양평군,양평군보건소,,보건소,031-770-3524,"경기도 양평군 양평읍 마유산로 17, 양평군보건소 (양평군보건소) .",https://www.yp21.go.kr/health/index.do,양평군,requires_planning_review_existing_public_health_facility
경기도,성남시 분당구,판교보건지소,성남시분당구보건소,일반보건지소,031-729-4240,"경기도 성남시 분당구 운중로138번길 10 (운중동, 운중동 행정복지센터 ,판교 보건지소) 판교보건지소",,성남시,requires_planning_review_existing_public_health_facility
경기도,평택시,안중보건지소,평택시평택보건소,일반보건지소,031-8024-8003,"경기도 평택시 안중읍 안현로서9길 24, 주건축물제1동 (낙안빌딩) 주건축물 제1동 2~6층",,평택시,requires_planning_review_existing_public_health_facility
경기도,평택시,오성보건지소,평택시평택보건소,일반보건지소,031-8024-8806,경기도 평택시 오성면 숙성시장길 23 오성보건진소,,평택시,requires_planning_review_existing_public_health_facility
경기도,평택시,청북보건지소,평택시평택보건소,일반보건지소,031-8024-8856,경기도 평택시 청북읍 청원로 2 (청북읍사무소) 청북보건지소,,평택시,requires_planning_review_existing_public_health_facility
경기도,평택시,팽성보건지소,평택시평택보건소,일반보건지소,031-8024-4360,경기도 평택시 팽성읍 팽성남산4길 6 팽성보건지소,,평택시,requires_planning_review_existing_public_health_facility
경기도,평택시,포승보건지소,평택시평택보건소,일반보건지소,031-8024-8706,경기도 평택시 포승읍 서동대로 1174-16 (포승읍사무소) 포승보건지소,,평택시,requires_planning_review_existing_public_health_facility
경기도,평택시,현덕보건지소,평택시평택보건소,일반보건지소,031-8024-8907,경기도 평택시 현덕면 인광길 84 (현덕면사무소) 현덕보건지소,,평택시,requires_planning_review_existing_public_health_facility
경기도,평택시,진위보건지소,평택시송탄보건소,일반보건지소,031-8024-6707,경기도 평택시 진위면 봉남길 61 (진위면사무소) 진위보건지소,,평택시,requires_planning_review_existing_public_health_facility
경기도,평택시,고덕보건지소,평택시송탄보건소,일반보건지소,031-8024-6838,경기도 평택시 고덕로 283 (고덕동) 고덕보건지소,,평택시,requires_planning_review_existing_public_health_facility
경기도,평택시,서탄보건지소,평택시송탄보건소,일반보건지소,031-8024-6777,경기도 평택시 서탄면 금암2길 122 서탄보건지소,,평택시,requires_planning_review_existing_public_health_facility
경기도,안산시 상록구,수암보건지소,안산시상록수보건소,일반보건지소,031-481-5886,경기도 안산시 상록구 원당골1길 23-3 (수암동) 수암보건지소,,안산시,requires_planning_review_existing_public_health_facility
경기도,안산시 단원구,안산시대부보건지소,안산시단원보건소,일반보건지소,031-481-2560,경기도 안산시 단원구 대부중앙로 77 (대부북동) 대부보건지소,,안산시,requires_planning_review_existing_public_health_facility
경기도,안산시 단원구,원곡보건지소,안산시단원보건소,일반보건지소,031-481-6830,"경기도 안산시 단원구 부부로 43 (원곡동, 안산시다문화지원본부) 원곡보건지소",,안산시,requires_planning_review_existing_public_health_facility
경기도,구리시,수택보건지소,구리시보건소,일반보건지소,031-550-2493,"경기도 구리시 체육관로 74 (수택동, 구리시행정복지센터) 1층",,구리시,requires_planning_review_existing_public_health_facility
경기도,남양주시,조안보건지소,남양주보건소,일반보건지소,031-590-4785,경기도 남양주시 조안면 북한강로 433 (조안보건소) 조안보건지소,,남양주시,requires_planning_review_existing_public_health_facility
경기도,남양주시,별내보건지소,남양주풍양보건소,일반보건지소,031-590-4693,경기도 남양주시 별내면 청학로 86 (청학보건지소) 별내보건지소,,남양주시,requires_planning_review_existing_public_health_facility
경기도,시흥시,정왕보건지소,시흥시보건소,일반보건지소,031-310-5901,"경기도 시흥시 정왕대로233번길 19 (정왕동, 정왕보건소) 정왕보건지소",,시흥시,requires_planning_review_existing_public_health_facility
경기도,군포시,군포시산본보건지소,군포시보건소,일반보건지소,031-390-8991,"경기도 군포시 산본천로 101 (산본동, 군포시 늘푸른 노인복지관), 산본보건지소 산본보건지소",,군포시,requires_planning_review_existing_public_health_facility
경기도,의왕시,의왕시 청계보건지소,의왕시보건소,일반보건지소,031-345-3671,"경기도 의왕시 덕장로 19 (청계동, 청계종합복지센터) 청계보건지소",,의왕시,requires_planning_review_existing_public_health_facility
경기도,하남시,하남시미사보건센터,하남시보건소,통합보건지소,031-790-6555,"경기도 하남시 미사강변대로 200 (망월동, 미사보건센터) 미사보건센터",,하남시,requires_planning_review_existing_public_health_facility
경기도,용인시 처인구,남사보건지소,처인구보건소,일반보건지소,031-6193-0097,경기도 용인시 처인구 남사읍 내기로 22 (남사읍행정복지센터) 남사보건지소,,용인시,requires_planning_review_existing_public_health_facility
경기도,용인시 처인구,모현보건지소,처인구보건소,일반보건지소,031-6193-0091,경기도 용인시 처인구 모현읍 독점로 31-6 (모현읍행정복지센터) 모현보건지소,,용인시,requires_planning_review_existing_public_health_facility
경기도,용인시 처인구,백암보건지소,처인구보건소,일반보건지소,031-6193-0107,경기도 용인시 처인구 백암면 백암로 189 (백암면행정복지센터) 백암보건지소,,용인시,requires_planning_review_existing_public_health_facility
경기도,용인시 처인구,양지보건지소,처인구보건소,일반보건지소,031-6193-0110,경기도 용인시 처인구 양지면 양지로105번길 5 (양지면행정복지센터) 양지보건지소,,용인시,requires_planning_review_existing_public_health_facility
경기도,용인시 처인구,원삼보건지소,처인구보건소,일반보건지소,031-6193-0104,경기도 용인시 처인구 원삼면 원양로 64 (원삼면행정복지센터) 원삼보건지소,,용인시,requires_planning_review_existing_public_health_facility
경기도,용인시 처인구,이동보건지소,처인구보건소,일반보건지소,031-6193-0100,경기도 용인시 처인구 이동읍 경기동로 673 (이동읍행정복지센터) 이동보건지소,,용인시,requires_planning_review_existing_public_health_facility
경기도,파주시,문산보건지소,파주보건소,일반보건지소,031-940-5604,"경기도 파주시 문산읍 통일로 1680, 문산읍행정복지센터 (문산읍행정복지센터) 문산읍행정복지센터 5층",,파주시,requires_planning_review_existing_public_health_facility
경기도,파주시,월롱보건지소,파주보건소,일반보건지소,031-940-8334,경기도 파주시 월롱면 엘지로 17 (월롱면 행정복지센터) 월롱보건지소,,파주시,requires_planning_review_existing_public_health_facility
경기도,파주시,적성보건지소,파주보건소,일반보건지소,031-940-8340,경기도 파주시 적성면 청송로 1013 (적성면 행정복지센터) 적성보건지소,,파주시,requires_planning_review_existing_public_health_facility
경기도,파주시,탄현보건지소,파주보건소,일반보건지소,031-940-8335,경기도 파주시 탄현면 방촌로649번길 24-7 (탄현면 행정복지센터) 탄현보건지소,,파주시,requires_planning_review_existing_public_health_facility
경기도,파주시,파평보건지소,파주보건소,일반보건지소,031-940-8339,경기도 파주시 파평면 청송로 189-22 파평보건지소,,파주시,requires_planning_review_existing_public_health_facility
경기도,이천시,대월보건지소,이천시보건소,일반보건지소,031-6190-7029,경기도 이천시 대월면 대평로178번길 49-10 (대월보건지소) 대월보건지소,,이천시,requires_planning_review_existing_public_health_facility
경기도,이천시,모가보건지소,이천시보건소,일반보건지소,031-6190-7038,경기도 이천시 모가면 대월로63번길 54 모가보건지소,,이천시,requires_planning_review_existing_public_health_facility
경기도,이천시,부발보건지소,이천시보건소,일반보건지소,031-6190-7230,경기도 이천시 부발읍 무촌로 117 (부발보건지소) 부발보건지소,,이천시,requires_planning_review_existing_public_health_facility
경기도,이천시,이천시남부통합보건지소,이천시보건소,통합보건지소,031-6190-7290,경기도 이천시 설성면 진상미로180번길 25 (남부통합보건지소) 남부통합보건지소,,이천시,requires_planning_review_existing_public_health_facility
경기도,이천시,이천시백사보건지소,이천시보건소,일반보건지소,031-6190-7017,경기도 이천시 백사면 원적로 1030 (백사면 보건지소) 백사보건지소,,이천시,requires_planning_review_existing_public_health_facility
경기도,이천시,호법보건지소,이천시보건소,일반보건지소,031-6190-7028,"경기도 이천시 호법면 이섭대천로527번길 27, A동 (호법면사무소) 호법보건지소",,이천시,requires_planning_review_existing_public_health_facility
경기도,안성시,금광보건지소,안성시보건소,일반보건지소,031-678-5775,"경기도 안성시 금광면 금광오산로 228, 금광보건지소 (금광면사무소) 금광보건지소",,안성시,requires_planning_review_existing_public_health_facility
경기도,안성시,미양보건지소,안성시보건소,일반보건지소,031-678-5785,경기도 안성시 미양면 양지길 29 (미양면사무소) 미양보건지소,,안성시,requires_planning_review_existing_public_health_facility
경기도,안성시,삼죽보건지소,안성시보건소,일반보건지소,031-678-5813,경기도 안성시 삼죽면 삼죽로 112 (삼죽면사무소) 삼죽보건지소,,안성시,requires_planning_review_existing_public_health_facility
경기도,안성시,서운보건지소,안성시보건소,일반보건지소,031-678-5781,경기도 안성시 서운면 서운중앙길 23 (서운면사무소) 서운보건지소,,안성시,requires_planning_review_existing_public_health_facility
경기도,안성시,고삼보건지소,안성시보건소,일반보건지소,031-678-5816,경기도 안성시 고삼면 고삼호수로 21 (고삼면사무소) 고삼보건지소,,안성시,requires_planning_review_existing_public_health_facility
경기도,안성시,죽산보건지소,안성시보건소,일반보건지소,031-678-5805,경기도 안성시 죽산면 죽산초교길 61 (죽산면사무소) 죽산보건지소,,안성시,requires_planning_review_existing_public_health_facility
경기도,안성시,양성보건지소,안성시보건소,일반보건지소,031-678-5792,경기도 안성시 양성면 읍내길 21 (양성면사무소) 양성보건지소,,안성시,requires_planning_review_existing_public_health_facility
경기도,안성시,원곡보건지소,안성시보건소,일반보건지소,031-678-0000,경기도 안성시 원곡면 가천중앙1길 82 원곡보건지소,,안성시,requires_planning_review_existing_public_health_facility
경기도,안성시,일죽보건지소,안성시보건소,일반보건지소,031-678-5801,경기도 안성시 일죽면 금일로 433 (일죽면행정복지센터) 일죽보건지소,,안성시,requires_planning_review_existing_public_health_facility
경기도,김포시,고촌읍보건지소,김포시보건소,일반보건지소,031-5186-4230,경기도 김포시 고촌읍 수기로 63 1층,,김포시,requires_planning_review_existing_public_health_facility
경기도,김포시,대곶면보건지소,김포시보건소,일반보건지소,031-5186-4235,경기도 김포시 대곶면 율생중앙로 7-2 1층,,김포시,requires_planning_review_existing_public_health_facility
경기도,김포시,양촌읍보건지소,김포시보건소,일반보건지소,031-5186-4115,"경기도 김포시 양촌읍 양곡1로 68, 상가 (휴먼시아1단지아파트) 1층",,김포시,requires_planning_review_existing_public_health_facility
경기도,김포시,월곶면보건지소,김포시보건소,일반보건지소,031-5186-4231,경기도 김포시 월곶면 군하로 263 (월곶면행정복지센터) 청사 내 1층 건물,,김포시,requires_planning_review_existing_public_health_facility
경기도,김포시,통진읍보건지소,김포시보건소,일반보건지소,031-5186-4219,경기도 김포시 통진읍 김포대로 2250 24-12,,김포시,requires_planning_review_existing_public_health_facility
