HT_INST_NM,CTPV_NM,SGG_NM,HTCT_TYPE_NM,LCTN_ROAD_NM_ADDR,LCTN_LOTNO_ADDR,MCARE_EXMD_CN,HMPG_ADDR,TELNO,CRTR_YMD,INSTT_CODE,INSTT_NM
풍도보건진료소,경기도,안산시,보건진료소,경기도 안산시 단원구 풍도2길 4(풍도동),경기도 안산시 단원구 풍도동 244,일차진료,,032-858-9290,2026-06-16,3930000,경기도 안산시
안산시남동보건진료소,경기도,안산시,보건진료소,경기도 안산시 단원구 비룰길 7(대부남동),경기도 안산시 단원구 대부남동 1071-8,일차진료,,031-481-2558,2026-06-16,3930000,경기도 안산시
원곡보건지소,경기도,안산시,보건지소,"경기도 안산시 단원구 부부로 43, 3층(원곡동)",경기도 안산시 단원구 원곡동 991-1 3층,치과+한의과,,031-481-6830,2026-06-16,3930000,경기도 안산시
대부보건지소,경기도,안산시,보건지소,경기도 안산시 단원구 대부중앙로 77(대부북동),경기도 안산시 단원구 대부북동 303,치과+한의과,,031-481-2560,2026-06-16,3930000,경기도 안산시
수암보건지소,경기도,안산시,보건지소,경기도 안산시 상록구 원당골1길 23-3 (수암동),경기도 안산시 상록구 수암동 467-3,내과+한의과,,031-481-5889,2026-06-16,3930000,경기도 안산시
단원보건소,경기도,안산시,보건소,경기도 안산시 단원구 화랑로 250(초지동),경기도 안산시 단원구 초지동 666-8,일차진료+한의과+치과,,1666-1234,2026-06-16,3930000,경기도 안산시
상록수보건소,경기도,안산시,보건소,경기도 안산시 상록구 차돌배기로1길 5 (사동),경기도 안산시 상록구 사동 1584,일차진료+한의과+치과,,1666-1234,2026-06-16,3930000,경기도 안산시
평택보건소,경기도,평택시,보건소,경기도 평택시 평택5로 56,경기도 평택시 비전동 850,내과,https://www.pyeongtaek.go.kr/health/main.do,031-8024-5559,2026-02-20,3910000,경기도 평택시
파주시운정보건소,경기도,파주시,보건소,경기도 파주시 금바위로 44,경기도 파주시 와동동 1387,내과+치과,http://clinic.paju.go.kr/clinic/index.do,031-820-7300,2025-12-22,4060000,경기도 파주시
파주보건소,경기도,파주시,보건소,경기도 파주시 후곡로 13,경기도 파주시 금촌동 953-4,내과+치과+한의과,http://clinic.paju.go.kr/clinic/index.do,031-940-4800,2025-12-22,4060000,경기도 파주시
문곡보건진료소,경기도,평택시,보건진료소,경기도 평택시 고덕면 문곡길 5,경기도 평택시 고덕면 동청리 6-1,내과,https://www.pyeongtaek.go.kr/health/main.do,031-8024-4390,2026-02-20,3910000,경기도 평택시
금각보건진료소,경기도,평택시,보건진료소,경기도 평택시 서탄면 금각1길 6-5,경기도 평택시 서탄면 금각리 286-24,내과,https://www.pyeongtaek.go.kr/health/main.do,031-8024-4388,2026-02-20,3910000,경기도 평택시
은산보건진료소,경기도,평택시,보건진료소,경기도 평택시 진위면 은산3길 26,경기도 평택시 진위면 은산리 67-13,내과,https://www.pyeongtaek.go.kr/health/main.do,031-8024-4384,2026-02-20,3910000,경기도 평택시
동천보건진료소,경기도,평택시,보건진료소,경기도 평택시 진위면 동천2길 14,경기도 평택시 동천리 209-9,내과,https://www.pyeongtaek.go.kr/health/main.do,031-8024-4386,2026-02-20,3910000,경기도 평택시
고덕보건지소,경기도,평택시,보건지소,경기도 평택시 고덕로 283,경기도 평택시 고덕동 1693-1139,한의과,https://www.pyeongtaek.go.kr/health/main.do,031-8024-6838,2026-02-20,3910000,경기도 평택시
서탄보건지소,경기도,평택시,보건지소,경기도 평택시 서탄면 금암2길 122,경기도 평택시 금암리 247,내과+한의과,https://www.pyeongtaek.go.kr/health/main.do,031-8024-6777,2026-02-20,3910000,경기도 평택시
진위보건지소,경기도,평택시,보건지소,경기도 평택시 진위면 봉남길 61,경기도 평택시 봉남리 229,내과+한의과,https://www.pyeongtaek.go.kr/health/main.do,031-8024-6707,2026-02-20,3910000,경기도 평택시
송탄보건소,경기도,평택시,보건소,경기도 평택시 서정로 295,경기도 평택시 서정동 산12,내과+한의과,https://www.pyeongtaek.go.kr/health/main.do,031-8024-7273,2026-02-20,3910000,경기도 평택시
팽성원정보건진료소,경기도,평택시,보건진료소,경기도 평택시 팽성읍 팽성북로 29,경기도 평택시 원정리 102-25,내과,https://www.pyeongtaek.go.kr/health/main.do,031-8024-4370,2026-02-20,3910000,경기도 평택시
두정보건진료소,경기도,평택시,보건진료소,경기도 평택시 팽성읍 두정길 53,경기도 평택시 두정리 141-8,내과,https://www.pyeongtaek.go.kr/health/main.do,031-8024-4372,2026-02-20,3910000,경기도 평택시
장수보건진료소,경기도,평택시,보건진료소,경기도 평택시 장수안길 35,경기도 평택시 장수리 147-2,내과,https://www.pyeongtaek.go.kr/health/main.do,031-8024-4382,2026-02-20,3910000,경기도 평택시
덕목보건진료소,경기도,평택시,보건진료소,경기도 평택시 현덕면 현덕로 387,경기도 평택시 현덕면 덕목리 503-13,내과,https://www.pyeongtaek.go.kr/health/main.do,031-8024-4380,2026-02-20,3910000,경기도 평택시
신영보건진료소,경기도,평택시,보건진료소,경기도 평택시 포승읍 중간촌길 18-4,경기도 평택시 포승읍 신영리 235-1,내과,https://www.pyeongtaek.go.kr/health/main.do,031-8024-4376,2026-02-20,3910000,경기도 평택시
포승원정보건진료소,경기도,평택시,보건진료소,경기도 평택시 포승읍 포승원정길 23,경기도 평택시 포승읍 원정리 391-22,내과,https://www.pyeongtaek.go.kr/health/main.do,031-8024-4374,2026-02-20,3910000,경기도 평택시
어연보건진료소,경기도,평택시,보건진료소,경기도 평택시 청북읍 청원로 427,경기도 평택시 청북읍 어연리 898,내과,https://www.pyeongtaek.go.kr/health/main.do,031-8024-4378,2026-02-20,3910000,경기도 평택시
현덕보건지소,경기도,평택시,보건지소,경기도 평택시 현덕면 인광길 84,경기도 평택시 현덕면 인광리 402-12,내과+한의과,https://www.pyeongtaek.go.kr/health/main.do,031-8024-8907,2026-02-20,3910000,경기도 평택시
포승보건지소,경기도,평택시,보건지소,경기도 평택시 포승읍 서동대로 1174-16,경기도 평택시 포승읍 방림리 716,내과,https://www.pyeongtaek.go.kr/health/main.do,031-8024-8706,2026-02-20,3910000,경기도 평택시
오성보건지소,경기도,평택시,보건지소,경기도 평택시 오성면 숙성시장길 23,경기도 평택시 오성면 숙성리 129-1,내과+한의과,https://www.pyeongtaek.go.kr/health/main.do,031-8024-8806,2026-02-20,3910000,경기도 평택시
