"행정구역","2026년08월_총인구수","2026년08월_세대수","2026년08월_세대당 인구","2026년08월_남자 인구수","2026년08월_여자 인구수","2026년08월_남여 비율"
"서울특별시  (1100000000)","9,281,625","4,525,061","          2.05","4,466,290","4,815,335","          0.93"
"서울특별시 종로구 (1111000000)","135,935","72,464","          1.88","65,042","70,893","          0.92"
"서울특별시 종로구 청운효자동(1111051500)","10,592","4,819","          2.20","4,806","5,786","          0.83"
"서울특별시 종로구 사직동(1111053000)","8,828","4,545","          1.94","3,893","4,935","          0.79"
"서울특별시 종로구 삼청동(1111054000)","2,029","1,041","          1.95","956","1,073","          0.89"
"서울특별시 종로구 부암동(1111055000)","8,862","4,121","          2.15","4,145","4,717","          0.88"
"서울특별시 종로구 평창동(1111056000)","16,921","7,107","          2.38","7,770","9,151","          0.85"
"서울특별시 종로구 무악동(1111057000)","7,696","2,978","          2.58","3,536","4,160","          0.85"
"서울특별시 종로구 교남동(1111058000)","9,476","4,343","          2.18","4,286","5,190","          0.83"
"서울특별시 종로구 가회동(1111060000)","3,500","1,786","          1.96","1,622","1,878","          0.86"
"서울특별시 종로구 종로1.2.3.4가동(1111061500)","6,561","4,858","          1.35","3,957","2,604","          1.52"
"서울특별시 종로구 종로5.6가동(1111063000)","5,400","3,718","          1.45","2,762","2,638","          1.05"
"서울특별시 종로구 이화동(1111064000)","7,044","4,482","          1.57","3,252","3,792","          0.86"
"서울특별시 종로구 혜화동(1111065000)","15,721","9,354","          1.68","7,491","8,230","          0.91"
"서울특별시 종로구 창신제1동(1111067000)","4,328","2,626","          1.65","2,270","2,058","          1.10"
"서울특별시 종로구 창신제2동(1111068000)","7,048","3,876","          1.82","3,610","3,438","          1.05"
"서울특별시 종로구 창신제3동(1111069000)","6,031","2,720","          2.22","2,924","3,107","          0.94"
"서울특별시 종로구 숭인제1동(1111070000)","5,654","3,013","          1.88","2,763","2,891","          0.96"
"서울특별시 종로구 숭인제2동(1111071000)","10,244","7,077","          1.45","4,999","5,245","          0.95"
"서울특별시 중구 (1114000000)","117,305","63,818","          1.84","56,257","61,048","          0.92"
"서울특별시 중구 소공동(1114052000)","2,205","1,236","          1.78","1,023","1,182","          0.87"
"서울특별시 중구 회현동(1114054000)","4,032","2,270","          1.78","2,026","2,006","          1.01"
"서울특별시 중구 명동(1114055000)","2,479","1,311","          1.89","1,027","1,452","          0.71"
"서울특별시 중구 필동(1114057000)","4,331","2,839","          1.53","2,213","2,118","          1.04"
"서울특별시 중구 장충동(1114058000)","4,553","2,951","          1.54","2,391","2,162","          1.11"
"서울특별시 중구 광희동(1114059000)","5,709","3,973","          1.44","2,771","2,938","          0.94"
"서울특별시 중구 을지로동(1114060500)","3,039","2,071","          1.47","1,637","1,402","          1.17"
"서울특별시 중구 신당동(1114061500)","7,236","4,659","          1.55","3,502","3,734","          0.94"
"서울특별시 중구 다산동(1114062500)","12,813","6,705","          1.91","6,163","6,650","          0.93"
"서울특별시 중구 약수동(1114063500)","15,562","7,688","          2.02","7,175","8,387","          0.86"
"서울특별시 중구 청구동(1114064500)","10,605","5,025","          2.11","4,946","5,659","          0.87"
"서울특별시 중구 신당제5동(1114065000)","9,957","5,411","          1.84","4,795","5,162","          0.93"
"서울특별시 중구 동화동(1114066500)","9,694","3,943","          2.46","4,646","5,048","          0.92"
"서울특별시 중구 황학동(1114067000)","13,134","7,849","          1.67","6,102","7,032","          0.87"
"서울특별시 중구 중림동(1114068000)","11,956","5,887","          2.03","5,840","6,116","          0.95"
"서울특별시 용산구 (1117000000)","199,459","101,969","          1.96","94,706","104,753","          0.90"
"서울특별시 용산구 후암동(1117051000)","15,584","8,296","          1.88","7,440","8,144","          0.91"
"서울특별시 용산구 용산2가동(1117052000)","8,352","4,947","          1.69","4,103","4,249","          0.97"
"서울특별시 용산구 남영동(1117053000)","7,004","4,997","          1.40","4,199","2,805","          1.50"
"서울특별시 용산구 청파동(1117055500)","18,790","11,560","          1.63","8,583","10,207","          0.84"
"서울특별시 용산구 원효로제1동(1117056000)","17,082","9,402","          1.82","7,776","9,306","          0.84"
"서울특별시 용산구 원효로제2동(1117057000)","13,318","6,329","          2.10","6,139","7,179","          0.86"
"서울특별시 용산구 효창동(1117058000)","10,383","4,732","          2.19","4,868","5,515","          0.88"
"서울특별시 용산구 용문동(1117059000)","11,023","5,350","          2.06","5,188","5,835","          0.89"
"서울특별시 용산구 한강로동(1117062500)","20,844","11,179","          1.86","9,822","11,022","          0.89"
"서울특별시 용산구 이촌제1동(1117063000)","24,925","9,140","          2.73","11,691","13,234","          0.88"
"서울특별시 용산구 이촌제2동(1117064000)","7,682","3,548","          2.17","3,603","4,079","          0.88"
"서울특별시 용산구 이태원제1동(1117065000)","5,361","3,065","          1.75","2,633","2,728","          0.97"
"서울특별시 용산구 이태원제2동(1117066000)","8,333","4,672","          1.78","3,956","4,377","          0.90"
"서울특별시 용산구 한남동(1117068500)","13,658","6,922","          1.97","6,364","7,294","          0.87"
"서울특별시 용산구 서빙고동(1117069000)","12,130","5,058","          2.40","5,846","6,284","          0.93"
"서울특별시 용산구 보광동(1117070000)","4,990","2,772","          1.80","2,495","2,495","          1.00"
"서울특별시 성동구 (1120000000)","274,199","133,694","          2.05","132,196","142,003","          0.93"
"서울특별시 성동구 왕십리제2동(1120052000)","15,603","7,339","          2.13","7,463","8,140","          0.92"
