code,municipality,population_weight,estimated_dispatches_2024,longitude,latitude
suwon,수원시,1197000,69371,127.029,37.264
seongnam,성남시,920000,53318,127.126,37.420
goyang,고양시,1075000,62301,126.832,37.658
yongin,용인시,1110000,64329,127.178,37.241
bucheon,부천시,773000,44798,126.766,37.504
ansan,안산시,621000,35989,126.831,37.322
anyang,안양시,550000,31875,126.956,37.394
namyangju,남양주시,733000,42480,127.217,37.636
hwaseong,화성시,1010000,58534,126.831,37.199
pyeongtaek,평택시,594000,34425,127.113,36.992
uijeongbu,의정부시,464000,26891,127.034,37.738
siheung,시흥시,519000,30078,126.803,37.380
paju,파주시,511000,29614,126.780,37.760
gwangmyeong,광명시,279000,16169,126.864,37.478
gimpo,김포시,487000,28224,126.715,37.616
gunpo,군포시,258000,14952,126.935,37.361
gwangju,광주시,414000,23993,127.255,37.430
icheon,이천시,223000,12924,127.435,37.272
yangju,양주시,286000,16575,127.045,37.785
osan,오산시,240000,13909,127.077,37.150
guri,구리시,188000,10895,127.130,37.594
anseong,안성시,192000,11127,127.279,37.008
pocheon,포천시,143000,8287,127.200,37.894
uiwang,의왕시,158000,9157,126.969,37.345
hanam,하남시,330000,19125,127.215,37.540
yeoju,여주시,114000,6607,127.637,37.298
yangpyeong,양평군,126000,7302,127.488,37.491
gwacheon,과천시,86000,4984,126.987,37.430
gapyeong,가평군,62000,3593,127.510,37.832
yeoncheon,연천군,41000,2376,127.075,38.096
dongducheon,동두천시,88000,5100,127.061,37.904
