code,province,population_2024_12,elderly_65plus_2024_12,ambulance_dispatches_2024
seoul,서울,9331828,1813648,557213
busan,부산,3266598,780576,190032
daegu,대구,2363629,493256,144894
incheon,인천,3021010,533369,184881
gwangju,광주,1408422,246980,73061
daejeon,대전,1439157,259245,80657
ulsan,울산,1098049,188702,50723
sejong,세종,390685,45301,18332
gyeonggi,경기,13694685,2269603,799302
gangwon,강원,1517766,384970,132888
chungbuk,충북,1591177,349187,119306
chungnam,충남,2136574,475648,186078
jeonbuk,전북,1738690,439263,151304
jeonnam,전남,1788819,486492,161028
gyeongbuk,경북,2531384,659227,191691
gyeongnam,경남,3228380,704330,225283
jeju,제주,670368,126985,57538
