policy,episode,seed,by_type,events,expected_lost,expected_saved,expected_saved_per_patient,mean_response_minutes,mean_scene_minutes,mean_transport_minutes,p90_response_minutes,reached_patients,response_rate,seeded_patients,terminal_patients,unreached_patients
greedy,0,1000,"{""cardiac"": {""expected_lost"": 8.286562733321494, ""expected_saved"": 0.7134372666785054, ""mean_response_minutes"": 31.579574053741542, ""mean_scene_minutes"": 12.0, ""mean_transport_minutes"": 40.228571428571435, ""p90_response_minutes"": 54.945515930960084, ""patients"": 9, ""response_count"": 7, ""response_minutes"": 221.0570183761908, ""scene_count"": 7, ""scene_minutes"": 84.0, ""transport_count"": 7, ""transport_minutes"": 281.6}, ""minor"": {""expected_lost"": 1.4137063371780725, ""expected_saved"": 12.586293662821927, ""mean_response_minutes"": 35.06807702837529, ""mean_scene_minutes"": 10.0, ""mean_transport_minutes"": 39.13214285714286, ""p90_response_minutes"": 51.87938496729575, ""patients"": 14, ""response_count"": 14, ""response_minutes"": 490.95307839725405, ""scene_count"": 14, ""scene_minutes"": 140.0, ""transport_count"": 14, ""transport_minutes"": 547.85}, ""stroke"": {""expected_lost"": 10.358294378543917, ""expected_saved"": 4.64170562145608, ""mean_response_minutes"": 87.93703085484812, ""mean_scene_minutes"": 14.0, ""mean_transport_minutes"": 25.789285714285693, ""p90_response_minutes"": 147.08562524047107, ""patients"": 15, ""response_count"": 14, ""response_minutes"": 1231.1184319678737, ""scene_count"": 14, ""scene_minutes"": 196.0, ""transport_count"": 14, ""transport_minutes"": 361.0499999999997}, ""trauma"": {""expected_lost"": 7.465220379602227, ""expected_saved"": 0.5347796195775586, ""mean_response_minutes"": 151.84112596276591, ""mean_scene_minutes"": 13.714285714285714, ""mean_transport_minutes"": 25.95999999999999, ""p90_response_minutes"": 350.7361048389467, ""patients"": 8, ""response_count"": 7, ""response_minutes"": 1062.8878817393613, ""scene_count"": 7, ""scene_minutes"": 96.0, ""transport_count"": 5, ""transport_minutes"": 129.79999999999995}}","{""arrive_hospital"": 95, ""arrive_scene"": 42, ""hospital_release"": 67, ""patient_arrival"": 46, ""reposition_complete"": 39, ""restock_complete"": 39, ""scene_complete"": 41, ""transfer_ready"": 72}",27.523784,18.476216,0.4016568732724798,71.57181929715902,12.285714285714286,33.00749999999999,126.32576419937067,42,0.9130434782608695,46,46,4
greedy,1,1001,"{""cardiac"": {""expected_lost"": 13.220236917628366, ""expected_saved"": 0.7797630823716348, ""mean_response_minutes"": 33.4428940767812, ""mean_scene_minutes"": 12.0, ""mean_transport_minutes"": 40.768749999999976, ""p90_response_minutes"": 55.86037930893119, ""patients"": 14, ""response_count"": 8, ""response_minutes"": 267.5431526142496, ""scene_count"": 8, ""scene_minutes"": 96.0, ""transport_count"": 8, ""transport_minutes"": 326.1499999999998}, ""minor"": {""expected_lost"": 2.3488382459205965, ""expected_saved"": 10.651161754079402, ""mean_response_minutes"": 24.413673064356544, ""mean_scene_minutes"": 10.0, ""mean_transport_minutes"": 44.127272727272704, ""p90_response_minutes"": 56.24458009103617, ""patients"": 13, ""response_count"": 12, ""response_minutes"": 292.96407677227853, ""scene_count"": 12, ""scene_minutes"": 120.0, ""transport_count"": 11, ""transport_minutes"": 485.39999999999975}, ""stroke"": {""expected_lost"": 8.719259870996758, ""expected_saved"": 2.280740129003241, ""mean_response_minutes"": 47.030392642244934, ""mean_scene_minutes"": 14.0, ""mean_transport_minutes"": 26.0, ""p90_response_minutes"": 73.97156903187181, ""patients"": 11, ""response_count"": 8, ""response_minutes"": 376.24314113795947, ""scene_count"": 8, ""scene_minutes"": 112.0, ""transport_count"": 7, ""transport_minutes"": 182.0}, ""trauma"": {""expected_lost"": 11.719724242168784, ""expected_saved"": 2.2802757578312125, ""mean_response_minutes"": 33.082187022382115, ""mean_scene_minutes"": 16.0, ""mean_transport_minutes"": 23.918181818181832, ""p90_response_minutes"": 77.72271323536097, ""patients"": 14, ""response_count"": 11, ""response_minutes"": 363.90405724620325, ""scene_count"": 11, ""scene_minutes"": 176.0, ""transport_count"": 11, ""transport_minutes"": 263.10000000000014}}","{""arrive_hospital"": 82, ""arrive_scene"": 39, ""hospital_release"": 60, ""patient_arrival"": 52, ""reposition_complete"": 36, ""restock_complete"": 37, ""scene_complete"": 39, ""transfer_ready"": 63}",36.008059,15.991941,0.307537321601644,33.350113532581815,12.923076923076923,33.963513513513504,68.37221966725195,39,0.75,52,52,13
greedy,2,1002,"{""cardiac"": {""expected_lost"": 7.62261934866199, ""expected_saved"": 1.3773806513380094, ""mean_response_minutes"": 29.03106899495377, ""mean_scene_minutes"": 10.666666666666664, ""mean_transport_minutes"": 42.837500000000006, ""p90_response_minutes"": 62.61908045515128, ""patients"": 9, ""response_count"": 9, ""response_minutes"": 261.27962095458395, ""scene_count"": 9, ""scene_minutes"": 95.99999999999997, ""transport_count"": 8, ""transport_minutes"": 342.70000000000005}, ""minor"": {""expected_lost"": 0.7371480708180157, ""expected_saved"": 6.262851929181984, ""mean_response_minutes"": 35.93853046420743, ""mean_scene_minutes"": 10.0, ""mean_transport_minutes"": 39.0, ""p90_response_minutes"": 61.58816806027856, ""patients"": 7, ""response_count"": 7, ""response_minutes"": 251.56971324945204, ""scene_count"": 7, ""scene_minutes"": 70.0, ""transport_count"": 7, ""transport_minutes"": 273.0}, ""stroke"": {""expected_lost"": 5.7384570910884545, ""expected_saved"": 4.2615429089115455, ""mean_response_minutes"": 53.01870804114443, ""mean_scene_minutes"": 14.0, ""mean_transport_minutes"": 26.415, ""p90_response_minutes"": 98.45295881998945, ""patients"": 10, ""response_count"": 10, ""response_minutes"": 530.1870804114443, ""scene_count"": 10, ""scene_minutes"": 140.0, ""transport_count"": 10, ""transport_minutes"": 264.15}, ""trauma"": {""expected_lost"": 8.825162972679674, ""expected_saved"": 2.1748370273203257, ""mean_response_minutes"": 28.348477643373975, ""mean_scene_minutes"": 14.4, ""mean_transport_minutes"": 25.75, ""p90_response_minutes"": 49.6790327577694, ""patients"": 11, ""response_count"": 10, ""response_minutes"": 283.48477643373974, ""scene_count"": 10, ""scene_minutes"": 144.0, ""transport_count"": 9, ""transport_minutes"": 231.75}}","{""arrive_hospital"": 74, ""arrive_scene"": 36, ""hospital_release"": 53, ""patient_arrival"": 37, ""reposition_complete"": 33, ""restock_complete"": 34, ""scene_complete"": 34, ""transfer_ready"": 59}",22.923387,14.076613,0.3804489869392396,36.84781086247833,12.5,32.69411764705882,75.72054966261467,36,0.972972972972973,37,37,1
greedy,3,1003,"{""cardiac"": {""expected_lost"": 13.139409852804397, ""expected_saved"": 0.8605901471956036, ""mean_response_minutes"": 48.729400051638926, ""mean_scene_minutes"": 12.0, ""mean_transport_minutes"": 42.235714285714266, ""p90_response_minutes"": 104.16024502885922, ""patients"": 14, ""response_count"": 7, ""response_minutes"": 341.10580036147246, ""scene_count"": 7, ""scene_minutes"": 84.0, ""transport_count"": 7, ""transport_minutes"": 295.64999999999986}, ""minor"": {""expected_lost"": 2.9958176120373206, ""expected_saved"": 13.004182387962679, ""mean_response_minutes"": 49.88545441755876, ""mean_scene_minutes"": 10.0, ""mean_transport_minutes"": 38.440000000000005, ""p90_response_minutes"": 82.64643214816874, ""patients"": 16, ""response_count"": 16, ""response_minutes"": 798.1672706809402, ""scene_count"": 16, ""scene_minutes"": 160.0, ""transport_count"": 15, ""transport_minutes"": 576.6}, ""stroke"": {""expected_lost"": 10.589004580130984, ""expected_saved"": 4.410995419869016, ""mean_response_minutes"": 119.23252382926034, ""mean_scene_minutes"": 14.0, ""mean_transport_minutes"": 28.48214285714285, ""p90_response_minutes"": 373.797550014217, ""patients"": 15, ""response_count"": 14, ""response_minutes"": 1669.2553336096448, ""scene_count"": 14, ""scene_minutes"": 196.0, ""transport_count"": 14, ""transport_minutes"": 398.7499999999999}, ""trauma"": {""expected_lost"": 9.516873107301592, ""expected_saved"": 1.483126892698408, ""mean_response_minutes"": 22.973902759577566, ""mean_scene_minutes"": 16.0, ""mean_transport_minutes"": 21.833333333333332, ""p90_response_minutes"": 33.37622773862381, ""patients"": 11, ""response_count"": 6, ""response_minutes"": 137.8434165574654, ""scene_count"": 6, ""scene_minutes"": 96.0, ""transport_count"": 6, ""transport_minutes"": 131.0}}","{""arrive_hospital"": 100, ""arrive_scene"": 43, ""hospital_release"": 71, ""patient_arrival"": 56, ""reposition_complete"": 40, ""restock_complete"": 41, ""scene_complete"": 43, ""transfer_ready"": 78}",36.241105,19.758895,0.3528374079951019,68.52027491184937,12.465116279069768,33.38095238095237,183.56884837502741,43,0.7678571428571429,56,56,13
greedy,4,1004,"{""cardiac"": {""expected_lost"": 6.818348840115851, ""expected_saved"": 1.1816511598841486, ""mean_response_minutes"": 15.263855119840457, ""mean_scene_minutes"": 12.0, ""mean_transport_minutes"": 37.76666666666667, ""p90_response_minutes"": 20.759286774708073, ""patients"": 8, ""response_count"": 6, ""response_minutes"": 91.58313071904274, ""scene_count"": 6, ""scene_minutes"": 72.0, ""transport_count"": 6, ""transport_minutes"": 226.60000000000002}, ""minor"": {""expected_lost"": 0.4592079672547352, ""expected_saved"": 5.540792032745265, ""mean_response_minutes"": 25.70789082003762, ""mean_scene_minutes"": 10.0, ""mean_transport_minutes"": 38.333333333333336, ""p90_response_minutes"": 53.45507121266496, ""patients"": 6, ""response_count"": 6, ""response_minutes"": 154.24734492022571, ""scene_count"": 6, ""scene_minutes"": 60.0, ""transport_count"": 6, ""transport_minutes"": 230.0}, ""stroke"": {""expected_lost"": 8.019533312555858, ""expected_saved"": 3.9804666874441437, ""mean_response_minutes"": 58.649759106859115, ""mean_scene_minutes"": 12.727272727272727, ""mean_transport_minutes"": 28.5, ""p90_response_minutes"": 168.16409681290042, ""patients"": 12, ""response_count"": 11, ""response_minutes"": 645.1473501754502, ""scene_count"": 11, ""scene_minutes"": 140.0, ""transport_count"": 9, ""transport_minutes"": 256.5}, ""trauma"": {""expected_lost"": 10.74786253714272, ""expected_saved"": 2.2521374628572803, ""mean_response_minutes"": 25.16558291148099, ""mean_scene_minutes"": 16.0, ""mean_transport_minutes"": 26.175000000000004, ""p90_response_minutes"": 34.48021433539236, ""patients"": 13, ""response_count"": 10, ""response_minutes"": 251.65582911480988, ""scene_count"": 10, ""scene_minutes"": 160.0, ""transport_count"": 10, ""transport_minutes"": 261.75000000000006}}","{""arrive_hospital"": 64, ""arrive_scene"": 33, ""hospital_release"": 48, ""patient_arrival"": 39, ""reposition_complete"": 31, ""restock_complete"": 31, ""scene_complete"": 32, ""transfer_ready"": 52}",26.044953,12.955047,0.33218070110079057,34.625262270591776,13.090909090909092,31.44677419354839,61.599140928939164,33,0.8461538461538461,39,39,6
greedy,5,1005,"{""cardiac"": {""expected_lost"": 7.301933088681054, ""expected_saved"": 0.6980669113189456, ""mean_response_minutes"": 30.02155228476847, ""mean_scene_minutes"": 11.999999999999991, ""mean_transport_minutes"": 43.980000000000004, ""p90_response_minutes"": 59.41763052901476, ""patients"": 8, ""response_count"": 6, ""response_minutes"": 180.12931370861082, ""scene_count"": 6, ""scene_minutes"": 71.99999999999994, ""transport_count"": 5, ""transport_minutes"": 219.9}, ""minor"": {""expected_lost"": 1.5432709432867886, ""expected_saved"": 9.456729056713213, ""mean_response_minutes"": 42.19623316689127, ""mean_scene_minutes"": 10.0, ""mean_transport_minutes"": 41.395454545454534, ""p90_response_minutes"": 84.54317961817287, ""patients"": 11, ""response_count"": 11, ""response_minutes"": 464.15856483580393, ""scene_count"": 11, ""scene_minutes"": 110.0, ""transport_count"": 11, ""transport_minutes"": 455.34999999999985}, ""stroke"": {""expected_lost"": 4.6275504771648555, ""expected_saved"": 3.3724495228351437, ""mean_response_minutes"": 81.17475964469396, ""mean_scene_minutes"": 14.0, ""mean_transport_minutes"": 28.01250000000001, ""p90_response_minutes"": 253.12897280873923, ""patients"": 8, ""response_count"": 8, ""response_minutes"": 649.3980771575517, ""scene_count"": 8, ""scene_minutes"": 112.0, ""transport_count"": 8, ""transport_minutes"": 224.10000000000008}, ""trauma"": {""expected_lost"": 10.250223184521827, ""expected_saved"": 1.7497768154781734, ""mean_response_minutes"": 58.15395338286637, ""mean_scene_minutes"": 15.99999999999999, ""mean_transport_minutes"": 28.19000000000001, ""p90_response_minutes"": 146.42351298390832, ""patients"": 12, ""response_count"": 11, ""response_minutes"": 639.69348721153, ""scene_count"": 11, ""scene_minutes"": 175.9999999999999, ""transport_count"": 10, ""transport_minutes"": 281.9000000000001}}","{""arrive_hospital"": 74, ""arrive_scene"": 36, ""hospital_release"": 58, ""patient_arrival"": 39, ""reposition_complete"": 34, ""restock_complete"": 34, ""scene_complete"": 36, ""transfer_ready"": 58}",23.722978,15.277022,0.39171852067552493,53.70498452537491,13.05555555555555,34.74264705882353,120.47519265187671,36,0.9230769230769231,39,39,3
greedy,6,1006,"{""cardiac"": {""expected_lost"": 9.241562784144051, ""expected_saved"": 0.7584372158559478, ""mean_response_minutes"": 69.51470019956345, ""mean_scene_minutes"": 12.0, ""mean_transport_minutes"": 40.94285714285714, ""p90_response_minutes"": 180.7261356797933, ""patients"": 10, ""response_count"": 7, ""response_minutes"": 486.6029013969441, ""scene_count"": 7, ""scene_minutes"": 84.0, ""transport_count"": 7, ""transport_minutes"": 286.6}, ""minor"": {""expected_lost"": 2.5743451467908125, ""expected_saved"": 14.425654853209188, ""mean_response_minutes"": 45.17961706861303, ""mean_scene_minutes"": 10.0, ""mean_transport_minutes"": 42.19411764705882, ""p90_response_minutes"": 81.14628171961843, ""patients"": 17, ""response_count"": 17, ""response_minutes"": 768.0534901664214, ""scene_count"": 17, ""scene_minutes"": 170.0, ""transport_count"": 17, ""transport_minutes"": 717.3}, ""stroke"": {""expected_lost"": 8.454074278403409, ""expected_saved"": 2.545925721596591, ""mean_response_minutes"": 97.95245593122605, ""mean_scene_minutes"": 14.0, ""mean_transport_minutes"": 25.68888888888887, ""p90_response_minutes"": 251.56606638992787, ""patients"": 11, ""response_count"": 9, ""response_minutes"": 881.5721033810345, ""scene_count"": 9, ""scene_minutes"": 126.0, ""transport_count"": 9, ""transport_minutes"": 231.19999999999982}, ""trauma"": {""expected_lost"": 13.090566022247344, ""expected_saved"": 0.9094339777526567, ""mean_response_minutes"": 112.50953262401143, ""mean_scene_minutes"": 16.0, ""mean_transport_minutes"": 26.7, ""p90_response_minutes"": 237.38803213669578, ""patients"": 14, ""response_count"": 10, ""response_minutes"": 1125.0953262401142, ""scene_count"": 10, ""scene_minutes"": 160.0, ""transport_count"": 10, ""transport_minutes"": 267.0}}","{""arrive_hospital"": 100, ""arrive_scene"": 43, ""hospital_release"": 68, ""patient_arrival"": 52, ""reposition_complete"": 40, ""restock_complete"": 41, ""scene_complete"": 43, ""transfer_ready"": 76}",33.360548,18.639452,0.3584509955464302,75.84474002754683,12.55813953488372,34.932558139534876,184.57477269675869,43,0.8269230769230769,52,52,9
greedy,7,1007,"{""cardiac"": {""expected_lost"": 17.796735094774366, ""expected_saved"": 1.2032649052256328, ""mean_response_minutes"": 27.58339037143672, ""mean_scene_minutes"": 12.0, ""mean_transport_minutes"": 42.574999999999996, ""p90_response_minutes"": 53.277355104421176, ""patients"": 19, ""response_count"": 8, ""response_minutes"": 220.66712297149377, ""scene_count"": 8, ""scene_minutes"": 96.0, ""transport_count"": 8, ""transport_minutes"": 340.59999999999997}, ""minor"": {""expected_lost"": 1.2631827056347733, ""expected_saved"": 8.736817294365226, ""mean_response_minutes"": 42.37258390905166, ""mean_scene_minutes"": 10.0, ""mean_transport_minutes"": 40.769999999999975, ""p90_response_minutes"": 61.40550179647617, ""patients"": 10, ""response_count"": 10, ""response_minutes"": 423.7258390905166, ""scene_count"": 10, ""scene_minutes"": 100.0, ""transport_count"": 10, ""transport_minutes"": 407.69999999999976}, ""stroke"": {""expected_lost"": 5.894687784039462, ""expected_saved"": 4.105312215960537, ""mean_response_minutes"": 46.416363438448435, ""mean_scene_minutes"": 14.0, ""mean_transport_minutes"": 26.625, ""p90_response_minutes"": 127.97737131766648, ""patients"": 10, ""response_count"": 10, ""response_minutes"": 464.16363438448434, ""scene_count"": 10, ""scene_minutes"": 140.0, ""transport_count"": 10, ""transport_minutes"": 266.25}, ""trauma"": {""expected_lost"": 8.545783234869312, ""expected_saved"": 1.4542167651306908, ""mean_response_minutes"": 65.56539313771482, ""mean_scene_minutes"": 16.0, ""mean_transport_minutes"": 24.47222222222221, ""p90_response_minutes"": 182.1762727038011, ""patients"": 10, ""response_count"": 9, ""response_minutes"": 590.0885382394334, ""scene_count"": 9, ""scene_minutes"": 144.0, ""transport_count"": 9, ""transport_minutes"": 220.2499999999999}}","{""arrive_hospital"": 82, ""arrive_scene"": 37, ""hospital_release"": 59, ""patient_arrival"": 49, ""reposition_complete"": 34, ""restock_complete"": 35, ""scene_complete"": 37, ""transfer_ready"": 64}",33.500389,15.499611,0.3163185955241241,45.909327964484554,12.972972972972974,33.37297297297297,134.73860191491295,37,0.7551020408163265,49,49,12
greedy,8,1008,"{""cardiac"": {""expected_lost"": 13.378588290349926, ""expected_saved"": 0.621411709650076, ""mean_response_minutes"": 77.23189131786306, ""mean_scene_minutes"": 12.0, ""mean_transport_minutes"": 41.09999999999999, ""p90_response_minutes"": 184.40365006930517, ""patients"": 14, ""response_count"": 6, ""response_minutes"": 463.39134790717833, ""scene_count"": 6, ""scene_minutes"": 72.0, ""transport_count"": 6, ""transport_minutes"": 246.5999999999999}, ""minor"": {""expected_lost"": 1.1723887114918745, ""expected_saved"": 6.827611288508127, ""mean_response_minutes"": 42.25165744388022, ""mean_scene_minutes"": 10.0, ""mean_transport_minutes"": 40.050000000000004, ""p90_response_minutes"": 66.04848987938382, ""patients"": 8, ""response_count"": 8, ""response_minutes"": 338.01325955104176, ""scene_count"": 8, ""scene_minutes"": 80.0, ""transport_count"": 8, ""transport_minutes"": 320.40000000000003}, ""stroke"": {""expected_lost"": 11.097720437498408, ""expected_saved"": 3.902279562501593, ""mean_response_minutes"": 182.10206786668124, ""mean_scene_minutes"": 14.0, ""mean_transport_minutes"": 28.52307692307692, ""p90_response_minutes"": 667.8060930464237, ""patients"": 15, ""response_count"": 13, ""response_minutes"": 2367.326882266856, ""scene_count"": 13, ""scene_minutes"": 182.0, ""transport_count"": 13, ""transport_minutes"": 370.79999999999995}, ""trauma"": {""expected_lost"": 11.287403134420636, ""expected_saved"": 1.712596865579363, ""mean_response_minutes"": 38.45823621425387, ""mean_scene_minutes"": 16.0, ""mean_transport_minutes"": 29.4, ""p90_response_minutes"": 78.71176560880629, ""patients"": 13, ""response_count"": 10, ""response_minutes"": 384.5823621425387, ""scene_count"": 10, ""scene_minutes"": 160.0, ""transport_count"": 10, ""transport_minutes"": 294.0}}","{""arrive_hospital"": 78, ""arrive_scene"": 37, ""hospital_release"": 58, ""patient_arrival"": 50, ""reposition_complete"": 35, ""restock_complete"": 36, ""scene_complete"": 37, ""transfer_ready"": 63}",36.936101,13.063899,0.2612779885247832,96.03550950993557,13.35135135135135,33.29189189189189,176.98992542319183,37,0.74,50,50,13
greedy,9,1009,"{""cardiac"": {""expected_lost"": 13.58947072088459, ""expected_saved"": 1.4105292791154123, ""mean_response_minutes"": 88.32850619086366, ""mean_scene_minutes"": 12.000000000000005, ""mean_transport_minutes"": 38.83636363636362, ""p90_response_minutes"": 249.14964368059077, ""patients"": 15, ""response_count"": 11, ""response_minutes"": 971.6135680995003, ""scene_count"": 11, ""scene_minutes"": 132.00000000000006, ""transport_count"": 11, ""transport_minutes"": 427.1999999999998}, ""minor"": {""expected_lost"": 1.3319310775818893, ""expected_saved"": 10.668068922418112, ""mean_response_minutes"": 36.24415021254756, ""mean_scene_minutes"": 10.0, ""mean_transport_minutes"": 39.333333333333336, ""p90_response_minutes"": 65.80875876050366, ""patients"": 12, ""response_count"": 12, ""response_minutes"": 434.92980255057074, ""scene_count"": 12, ""scene_minutes"": 120.0, ""transport_count"": 12, ""transport_minutes"": 472.0}, ""stroke"": {""expected_lost"": 6.227005825270041, ""expected_saved"": 1.772994174729959, ""mean_response_minutes"": 34.739474309910634, ""mean_scene_minutes"": 14.0, ""mean_transport_minutes"": 28.79000000000001, ""p90_response_minutes"": 44.28865484821965, ""patients"": 8, ""response_count"": 5, ""response_minutes"": 173.69737154955317, ""scene_count"": 5, ""scene_minutes"": 70.0, ""transport_count"": 5, ""transport_minutes"": 143.95000000000005}, ""trauma"": {""expected_lost"": 14.514615106547868, ""expected_saved"": 1.4853848934521319, ""mean_response_minutes"": 42.94315405915118, ""mean_scene_minutes"": 16.0, ""mean_transport_minutes"": 23.068181818181817, ""p90_response_minutes"": 78.25574559385569, ""patients"": 16, ""response_count"": 11, ""response_minutes"": 472.374694650663, ""scene_count"": 11, ""scene_minutes"": 176.0, ""transport_count"": 11, ""transport_minutes"": 253.75}}","{""arrive_hospital"": 86, ""arrive_mortuary"": 1, ""arrive_scene"": 39, ""hospital_release"": 60, ""patient_arrival"": 51, ""reposition_complete"": 38, ""restock_complete"": 38, ""scene_complete"": 39, ""transfer_ready"": 65}",35.663023,15.336977,0.3007250445042277,52.63116504744326,12.76923076923077,33.25384615384615,75.49896254986909,39,0.7647058823529411,51,51,12
