policy,episode,seed,by_type,events,expected_lost,expected_saved,expected_saved_per_patient,mean_response_minutes,mean_scene_minutes,mean_transport_minutes,p90_response_minutes,reached_patients,response_rate,seeded_patients,terminal_patients,unreached_patients
Station North,0,2000,"{""cardiac"": {""expected_lost"": 18.242339068719907, ""expected_saved"": 0.7576609304002785, ""mean_response_minutes"": 113.47023152687287, ""mean_scene_minutes"": 12.0, ""mean_transport_minutes"": 41.72307692307691, ""p90_response_minutes"": 291.8812071323575, ""patients"": 19, ""response_count"": 13, ""response_minutes"": 1475.1130098493472, ""scene_count"": 13, ""scene_minutes"": 156.0, ""transport_count"": 13, ""transport_minutes"": 542.3999999999999}, ""minor"": {""expected_lost"": 3.190233579933557, ""expected_saved"": 11.809766420066445, ""mean_response_minutes"": 43.56373592448381, ""mean_scene_minutes"": 10.0, ""mean_transport_minutes"": 40.19285714285713, ""p90_response_minutes"": 86.56545451180145, ""patients"": 15, ""response_count"": 14, ""response_minutes"": 609.8923029427733, ""scene_count"": 14, ""scene_minutes"": 140.0, ""transport_count"": 14, ""transport_minutes"": 562.6999999999998}, ""stroke"": {""expected_lost"": 5.1191704369479565, ""expected_saved"": 1.8808295630520433, ""mean_response_minutes"": 133.9028063765097, ""mean_scene_minutes"": 14.0, ""mean_transport_minutes"": 25.571428571428573, ""p90_response_minutes"": 334.6706503575948, ""patients"": 7, ""response_count"": 7, ""response_minutes"": 937.3196446355678, ""scene_count"": 7, ""scene_minutes"": 98.0, ""transport_count"": 7, ""transport_minutes"": 179.0}, ""trauma"": {""expected_lost"": 8.76048604578625, ""expected_saved"": 0.23951395421375096, ""mean_response_minutes"": 101.41805530264597, ""mean_scene_minutes"": 16.0, ""mean_transport_minutes"": 23.633333333333326, ""p90_response_minutes"": 207.22366594504973, ""patients"": 9, ""response_count"": 7, ""response_minutes"": 709.9263871185218, ""scene_count"": 7, ""scene_minutes"": 112.0, ""transport_count"": 6, ""transport_minutes"": 141.79999999999995}}","{""arrive_hospital"": 99, ""arrive_scene"": 41, ""hospital_release"": 66, ""patient_arrival"": 50, ""reposition_complete"": 39, ""restock_complete"": 39, ""scene_complete"": 41, ""transfer_ready"": 73}",35.312229,14.687771,0.29375541735465033,91.03052059868804,12.341463414634147,35.647499999999994,274.52558234291337,41,0.82,50,50,9
Station North,1,2001,"{""cardiac"": {""expected_lost"": 10.52028825962627, ""expected_saved"": 0.4797117399517645, ""mean_response_minutes"": 82.23221063858536, ""mean_scene_minutes"": 12.0, ""mean_transport_minutes"": 41.03333333333334, ""p90_response_minutes"": 192.09791123202325, ""patients"": 11, ""response_count"": 6, ""response_minutes"": 493.3932638315122, ""scene_count"": 6, ""scene_minutes"": 72.0, ""transport_count"": 6, ""transport_minutes"": 246.20000000000005}, ""minor"": {""expected_lost"": 2.4756258972679497, ""expected_saved"": 7.52437410273205, ""mean_response_minutes"": 36.28519565450602, ""mean_scene_minutes"": 10.0, ""mean_transport_minutes"": 40.462499999999984, ""p90_response_minutes"": 54.22561710240907, ""patients"": 10, ""response_count"": 9, ""response_minutes"": 326.5667608905542, ""scene_count"": 9, ""scene_minutes"": 90.0, ""transport_count"": 8, ""transport_minutes"": 323.6999999999999}, ""stroke"": {""expected_lost"": 9.358090791878624, ""expected_saved"": 2.641909208121376, ""mean_response_minutes"": 55.271350933419036, ""mean_scene_minutes"": 14.000000000000012, ""mean_transport_minutes"": 29.333333333333332, ""p90_response_minutes"": 74.03349179814236, ""patients"": 12, ""response_count"": 9, ""response_minutes"": 497.44215840077135, ""scene_count"": 9, ""scene_minutes"": 126.00000000000011, ""transport_count"": 9, ""transport_minutes"": 264.0}, ""trauma"": {""expected_lost"": 15.196737230664484, ""expected_saved"": 1.8032627693355148, ""mean_response_minutes"": 60.498957172344994, ""mean_scene_minutes"": 15.0, ""mean_transport_minutes"": 23.79333333333334, ""p90_response_minutes"": 115.34292062333662, ""patients"": 17, ""response_count"": 16, ""response_minutes"": 967.9833147575199, ""scene_count"": 16, ""scene_minutes"": 240.0, ""transport_count"": 15, ""transport_minutes"": 356.9000000000001}}","{""arrive_hospital"": 74, ""arrive_scene"": 40, ""hospital_release"": 55, ""patient_arrival"": 50, ""reposition_complete"": 37, ""restock_complete"": 37, ""scene_complete"": 39, ""transfer_ready"": 61}",37.550742,12.449258,0.2489851564028141,57.134637447008934,13.200000000000003,31.336842105263155,108.23646008877316,40,0.8,50,50,10
Station North,2,2002,"{""cardiac"": {""expected_lost"": 10.238105438540911, ""expected_saved"": 0.7618945614590885, ""mean_response_minutes"": 69.7746317040122, ""mean_scene_minutes"": 12.0, ""mean_transport_minutes"": 40.961111111111094, ""p90_response_minutes"": 150.82639949947497, ""patients"": 11, ""response_count"": 10, ""response_minutes"": 697.7463170401219, ""scene_count"": 10, ""scene_minutes"": 120.0, ""transport_count"": 9, ""transport_minutes"": 368.64999999999986}, ""minor"": {""expected_lost"": 2.045531547398711, ""expected_saved"": 7.954468452601289, ""mean_response_minutes"": 39.40674393666214, ""mean_scene_minutes"": 10.000000000000002, ""mean_transport_minutes"": 41.10555555555553, ""p90_response_minutes"": 74.81007948999454, ""patients"": 10, ""response_count"": 9, ""response_minutes"": 354.6606954299593, ""scene_count"": 9, ""scene_minutes"": 90.00000000000001, ""transport_count"": 9, ""transport_minutes"": 369.9499999999998}, ""stroke"": {""expected_lost"": 5.313701448071087, ""expected_saved"": 3.686298551928913, ""mean_response_minutes"": 30.475043929212728, ""mean_scene_minutes"": 14.0, ""mean_transport_minutes"": 25.125, ""p90_response_minutes"": 49.01602460518302, ""patients"": 9, ""response_count"": 9, ""response_minutes"": 274.27539536291454, ""scene_count"": 9, ""scene_minutes"": 126.0, ""transport_count"": 8, ""transport_minutes"": 201.0}, ""trauma"": {""expected_lost"": 13.506637344709421, ""expected_saved"": 1.4933626552905783, ""mean_response_minutes"": 106.52831677752911, ""mean_scene_minutes"": 15.999999999999996, ""mean_transport_minutes"": 27.910714285714285, ""p90_response_minutes"": 313.72166637277365, ""patients"": 15, ""response_count"": 14, ""response_minutes"": 1491.3964348854076, ""scene_count"": 14, ""scene_minutes"": 223.99999999999994, ""transport_count"": 14, ""transport_minutes"": 390.75}}","{""arrive_hospital"": 84, ""arrive_scene"": 42, ""hospital_release"": 58, ""patient_arrival"": 45, ""reposition_complete"": 39, ""restock_complete"": 39, ""scene_complete"": 42, ""transfer_ready"": 66}",31.103976,13.896024,0.30880053825066356,67.09711530281913,13.333333333333334,33.25874999999999,132.52993996181567,42,0.9333333333333333,45,45,3
Station North,3,2003,"{""cardiac"": {""expected_lost"": 10.28347238200107, ""expected_saved"": 0.716527617998929, ""mean_response_minutes"": 55.0130916705162, ""mean_scene_minutes"": 12.0, ""mean_transport_minutes"": 41.6125, ""p90_response_minutes"": 99.63953724969849, ""patients"": 11, ""response_count"": 9, ""response_minutes"": 495.11782503464576, ""scene_count"": 9, ""scene_minutes"": 108.0, ""transport_count"": 8, ""transport_minutes"": 332.9}, ""minor"": {""expected_lost"": 2.3932048402918884, ""expected_saved"": 7.606795159708111, ""mean_response_minutes"": 69.97431985079747, ""mean_scene_minutes"": 10.0, ""mean_transport_minutes"": 38.1, ""p90_response_minutes"": 143.13873689319144, ""patients"": 10, ""response_count"": 10, ""response_minutes"": 699.7431985079747, ""scene_count"": 10, ""scene_minutes"": 100.0, ""transport_count"": 10, ""transport_minutes"": 381.0}, ""stroke"": {""expected_lost"": 9.058154830307565, ""expected_saved"": 3.9418451696924333, ""mean_response_minutes"": 84.4196417582311, ""mean_scene_minutes"": 14.0, ""mean_transport_minutes"": 30.449999999999985, ""p90_response_minutes"": 120.82111419770794, ""patients"": 13, ""response_count"": 12, ""response_minutes"": 1013.0357010987731, ""scene_count"": 12, ""scene_minutes"": 168.0, ""transport_count"": 12, ""transport_minutes"": 365.3999999999998}, ""trauma"": {""expected_lost"": 10.466806615363053, ""expected_saved"": 1.5331933846369472, ""mean_response_minutes"": 33.07327254149894, ""mean_scene_minutes"": 16.0, ""mean_transport_minutes"": 22.8125, ""p90_response_minutes"": 45.947896205661365, ""patients"": 12, ""response_count"": 9, ""response_minutes"": 297.6594528734904, ""scene_count"": 9, ""scene_minutes"": 144.0, ""transport_count"": 8, ""transport_minutes"": 182.5}}","{""arrive_hospital"": 86, ""arrive_scene"": 40, ""hospital_release"": 59, ""patient_arrival"": 46, ""reposition_complete"": 37, ""restock_complete"": 38, ""scene_complete"": 40, ""transfer_ready"": 68}",32.201639,13.798361,0.29996437678340054,62.638904437872085,13.0,33.20526315789473,123.51822162927333,40,0.8695652173913043,46,46,6
Station North,4,2004,"{""cardiac"": {""expected_lost"": 6.6433666990993405, ""expected_saved"": 0.35663330038402724, ""mean_response_minutes"": 95.33848241842553, ""mean_scene_minutes"": 12.0, ""mean_transport_minutes"": 43.191666666666634, ""p90_response_minutes"": 208.2630555279763, ""patients"": 7, ""response_count"": 6, ""response_minutes"": 572.0308945105531, ""scene_count"": 6, ""scene_minutes"": 72.0, ""transport_count"": 6, ""transport_minutes"": 259.1499999999998}, ""minor"": {""expected_lost"": 2.400100787714191, ""expected_saved"": 7.599899212285808, ""mean_response_minutes"": 39.34725945362853, ""mean_scene_minutes"": 10.0, ""mean_transport_minutes"": 37.75, ""p90_response_minutes"": 64.73146333268451, ""patients"": 10, ""response_count"": 9, ""response_minutes"": 354.12533508265676, ""scene_count"": 9, ""scene_minutes"": 90.0, ""transport_count"": 8, ""transport_minutes"": 302.0}, ""stroke"": {""expected_lost"": 9.208954801839745, ""expected_saved"": 4.791045198160255, ""mean_response_minutes"": 36.756792926616086, ""mean_scene_minutes"": 13.0, ""mean_transport_minutes"": 29.174999999999983, ""p90_response_minutes"": 57.64854132401109, ""patients"": 14, ""response_count"": 14, ""response_minutes"": 514.5951009726252, ""scene_count"": 14, ""scene_minutes"": 182.0, ""transport_count"": 12, ""transport_minutes"": 350.0999999999998}, ""trauma"": {""expected_lost"": 7.294842846065211, ""expected_saved"": 0.7051571539347881, ""mean_response_minutes"": 76.390023516251, ""mean_scene_minutes"": 16.0, ""mean_transport_minutes"": 28.099999999999994, ""p90_response_minutes"": 151.03608221726236, ""patients"": 8, ""response_count"": 8, ""response_minutes"": 611.120188130008, ""scene_count"": 8, ""scene_minutes"": 128.0, ""transport_count"": 8, ""transport_minutes"": 224.79999999999995}}","{""arrive_hospital"": 74, ""arrive_scene"": 37, ""hospital_release"": 56, ""patient_arrival"": 39, ""reposition_complete"": 34, ""restock_complete"": 34, ""scene_complete"": 36, ""transfer_ready"": 60}",25.547265,13.452735,0.3449419196093559,55.455986991779554,12.756756756756756,33.41323529411764,103.26729077540892,37,0.9487179487179487,39,39,2
Station North,5,2005,"{""cardiac"": {""expected_lost"": 11.172219976037981, ""expected_saved"": 0.8277800239620179, ""mean_response_minutes"": 99.82157184733705, ""mean_scene_minutes"": 12.000000000000005, ""mean_transport_minutes"": 38.38636363636363, ""p90_response_minutes"": 238.4026842309422, ""patients"": 12, ""response_count"": 11, ""response_minutes"": 1098.0372903207076, ""scene_count"": 11, ""scene_minutes"": 132.00000000000006, ""transport_count"": 11, ""transport_minutes"": 422.25}, ""minor"": {""expected_lost"": 2.5989483488674447, ""expected_saved"": 9.401051651132557, ""mean_response_minutes"": 26.51352543144235, ""mean_scene_minutes"": 10.0, ""mean_transport_minutes"": 38.3, ""p90_response_minutes"": 47.21630371884006, ""patients"": 12, ""response_count"": 10, ""response_minutes"": 265.1352543144235, ""scene_count"": 10, ""scene_minutes"": 100.0, ""transport_count"": 10, ""transport_minutes"": 383.0}, ""stroke"": {""expected_lost"": 8.667136589395412, ""expected_saved"": 3.33286341060459, ""mean_response_minutes"": 92.00374724175235, ""mean_scene_minutes"": 14.0, ""mean_transport_minutes"": 27.604545454545427, ""p90_response_minutes"": 243.22098481724836, ""patients"": 12, ""response_count"": 12, ""response_minutes"": 1104.0449669010281, ""scene_count"": 12, ""scene_minutes"": 168.0, ""transport_count"": 11, ""transport_minutes"": 303.6499999999997}, ""trauma"": {""expected_lost"": 9.714323885076071, ""expected_saved"": 1.2856761149239289, ""mean_response_minutes"": 51.98132819035864, ""mean_scene_minutes"": 14.545454545454534, ""mean_transport_minutes"": 26.380000000000017, ""p90_response_minutes"": 100.43045529539177, ""patients"": 11, ""response_count"": 11, ""response_minutes"": 571.794610093945, ""scene_count"": 11, ""scene_minutes"": 159.9999999999999, ""transport_count"": 10, ""transport_minutes"": 263.8000000000002}}","{""arrive_hospital"": 91, ""arrive_mortuary"": 1, ""arrive_scene"": 44, ""hospital_release"": 68, ""patient_arrival"": 47, ""reposition_complete"": 41, ""restock_complete"": 41, ""scene_complete"": 43, ""transfer_ready"": 70}",32.152629,14.847371,0.3159015149068743,69.06845730977507,12.727272727272727,32.68333333333333,156.09656095974898,44,0.9361702127659575,47,47,3
Station North,6,2006,"{""cardiac"": {""expected_lost"": 10.388978524688293, ""expected_saved"": 0.6110214753117066, ""mean_response_minutes"": 77.04315636004175, ""mean_scene_minutes"": 12.0, ""mean_transport_minutes"": 37.71999999999999, ""p90_response_minutes"": 157.42100881720842, ""patients"": 11, ""response_count"": 10, ""response_minutes"": 770.4315636004175, ""scene_count"": 10, ""scene_minutes"": 120.0, ""transport_count"": 10, ""transport_minutes"": 377.19999999999993}, ""minor"": {""expected_lost"": 0.722880134368781, ""expected_saved"": 6.277119865631219, ""mean_response_minutes"": 34.263721078254534, ""mean_scene_minutes"": 10.0, ""mean_transport_minutes"": 36.57142857142857, ""p90_response_minutes"": 64.21204757095843, ""patients"": 7, ""response_count"": 7, ""response_minutes"": 239.84604754778172, ""scene_count"": 7, ""scene_minutes"": 70.0, ""transport_count"": 7, ""transport_minutes"": 256.0}, ""stroke"": {""expected_lost"": 6.876885146110829, ""expected_saved"": 5.123114853889171, ""mean_response_minutes"": 37.678157677578355, ""mean_scene_minutes"": 14.0, ""mean_transport_minutes"": 26.995833333333326, ""p90_response_minutes"": 88.18160300512142, ""patients"": 12, ""response_count"": 12, ""response_minutes"": 452.13789213094026, ""scene_count"": 12, ""scene_minutes"": 168.0, ""transport_count"": 12, ""transport_minutes"": 323.94999999999993}, ""trauma"": {""expected_lost"": 9.201499399274784, ""expected_saved"": 1.7985006007252158, ""mean_response_minutes"": 40.8408387362091, ""mean_scene_minutes"": 14.545454545454545, ""mean_transport_minutes"": 27.17999999999999, ""p90_response_minutes"": 82.26767828683853, ""patients"": 11, ""response_count"": 11, ""response_minutes"": 449.2492260983001, ""scene_count"": 11, ""scene_minutes"": 160.0, ""transport_count"": 10, ""transport_minutes"": 271.7999999999999}}","{""arrive_hospital"": 82, ""arrive_scene"": 40, ""hospital_release"": 58, ""patient_arrival"": 41, ""reposition_complete"": 37, ""restock_complete"": 37, ""scene_complete"": 39, ""transfer_ready"": 67}",27.190243,13.809757,0.33682333647700763,47.79161823443598,12.95,31.511538461538457,95.3717292469211,40,0.975609756097561,41,41,1
Station North,7,2007,"{""cardiac"": {""expected_lost"": 7.519064563776675, ""expected_saved"": 0.48093543622332496, ""mean_response_minutes"": 145.0608057509151, ""mean_scene_minutes"": 12.0, ""mean_transport_minutes"": 39.1, ""p90_response_minutes"": 322.82180745366014, ""patients"": 8, ""response_count"": 6, ""response_minutes"": 870.3648345054906, ""scene_count"": 6, ""scene_minutes"": 72.0, ""transport_count"": 5, ""transport_minutes"": 195.5}, ""minor"": {""expected_lost"": 2.2898123819930833, ""expected_saved"": 8.710187618006918, ""mean_response_minutes"": 57.921306461443734, ""mean_scene_minutes"": 10.0, ""mean_transport_minutes"": 42.368181818181796, ""p90_response_minutes"": 101.52504995959339, ""patients"": 11, ""response_count"": 11, ""response_minutes"": 637.1343710758811, ""scene_count"": 11, ""scene_minutes"": 110.0, ""transport_count"": 11, ""transport_minutes"": 466.0499999999997}, ""stroke"": {""expected_lost"": 8.282490054270587, ""expected_saved"": 4.717509945729412, ""mean_response_minutes"": 63.39963227212895, ""mean_scene_minutes"": 14.0, ""mean_transport_minutes"": 26.28461538461539, ""p90_response_minutes"": 71.2291320417391, ""patients"": 13, ""response_count"": 13, ""response_minutes"": 824.1952195376763, ""scene_count"": 13, ""scene_minutes"": 182.0, ""transport_count"": 13, ""transport_minutes"": 341.70000000000005}, ""trauma"": {""expected_lost"": 13.917202488754729, ""expected_saved"": 1.0827975112452717, ""mean_response_minutes"": 107.0122056061596, ""mean_scene_minutes"": 16.0, ""mean_transport_minutes"": 26.51538461538462, ""p90_response_minutes"": 309.38099777990556, ""patients"": 15, ""response_count"": 14, ""response_minutes"": 1498.1708784862344, ""scene_count"": 14, ""scene_minutes"": 224.0, ""transport_count"": 13, ""transport_minutes"": 344.70000000000005}}","{""arrive_hospital"": 86, ""arrive_scene"": 44, ""hospital_release"": 64, ""patient_arrival"": 47, ""reposition_complete"": 42, ""restock_complete"": 42, ""scene_complete"": 44, ""transfer_ready"": 71}",32.008569,14.991431,0.3189666066213814,87.04239326375644,13.363636363636363,32.094047619047615,264.5905125039223,44,0.9361702127659575,47,47,3
Station North,8,2008,"{""cardiac"": {""expected_lost"": 8.372553952499361, ""expected_saved"": 0.6274460471660785, ""mean_response_minutes"": 84.07081370098861, ""mean_scene_minutes"": 10.5, ""mean_transport_minutes"": 39.92857142857143, ""p90_response_minutes"": 235.00508311121058, ""patients"": 9, ""response_count"": 8, ""response_minutes"": 672.5665096079089, ""scene_count"": 8, ""scene_minutes"": 84.0, ""transport_count"": 7, ""transport_minutes"": 279.5}, ""minor"": {""expected_lost"": 1.6583544712193812, ""expected_saved"": 9.341645528780619, ""mean_response_minutes"": 46.11720635170655, ""mean_scene_minutes"": 10.0, ""mean_transport_minutes"": 40.78181818181818, ""p90_response_minutes"": 76.73682367643403, ""patients"": 11, ""response_count"": 11, ""response_minutes"": 507.28926986877207, ""scene_count"": 11, ""scene_minutes"": 110.0, ""transport_count"": 11, ""transport_minutes"": 448.6}, ""stroke"": {""expected_lost"": 6.844912318425905, ""expected_saved"": 4.155087681574095, ""mean_response_minutes"": 53.71281006536662, ""mean_scene_minutes"": 14.0, ""mean_transport_minutes"": 26.00454545454545, ""p90_response_minutes"": 122.07979768452066, ""patients"": 11, ""response_count"": 11, ""response_minutes"": 590.8409107190328, ""scene_count"": 11, ""scene_minutes"": 154.0, ""transport_count"": 11, ""transport_minutes"": 286.04999999999995}, ""trauma"": {""expected_lost"": 9.662660489632197, ""expected_saved"": 1.3373395103678039, ""mean_response_minutes"": 73.97878936624015, ""mean_scene_minutes"": 16.0, ""mean_transport_minutes"": 25.65454545454546, ""p90_response_minutes"": 214.4130352075342, ""patients"": 11, ""response_count"": 11, ""response_minutes"": 813.7666830286416, ""scene_count"": 11, ""scene_minutes"": 176.0, ""transport_count"": 11, ""transport_minutes"": 282.20000000000005}}","{""arrive_hospital"": 87, ""arrive_scene"": 41, ""hospital_release"": 61, ""patient_arrival"": 42, ""reposition_complete"": 39, ""restock_complete"": 40, ""scene_complete"": 40, ""transfer_ready"": 69}",26.538481,15.461519,0.36813139923544264,63.03569202986233,12.78048780487805,32.40875,175.32697426765398,41,0.9761904761904762,42,42,1
Station North,9,2009,"{""cardiac"": {""expected_lost"": 8.597793458269189, ""expected_saved"": 0.4022065417308114, ""mean_response_minutes"": 72.50221110036023, ""mean_scene_minutes"": 12.0, ""mean_transport_minutes"": 40.60625, ""p90_response_minutes"": 139.9452289879004, ""patients"": 9, ""response_count"": 8, ""response_minutes"": 580.0176888028818, ""scene_count"": 8, ""scene_minutes"": 96.0, ""transport_count"": 8, ""transport_minutes"": 324.85}, ""minor"": {""expected_lost"": 0.8906055294046498, ""expected_saved"": 8.10939447059535, ""mean_response_minutes"": 34.76696977260155, ""mean_scene_minutes"": 10.0, ""mean_transport_minutes"": 42.71111111111111, ""p90_response_minutes"": 59.60356047236301, ""patients"": 9, ""response_count"": 9, ""response_minutes"": 312.90272795341394, ""scene_count"": 9, ""scene_minutes"": 90.0, ""transport_count"": 9, ""transport_minutes"": 384.4}, ""stroke"": {""expected_lost"": 4.639382510076252, ""expected_saved"": 2.360617489923748, ""mean_response_minutes"": 42.482907831747795, ""mean_scene_minutes"": 14.0, ""mean_transport_minutes"": 27.892857142857142, ""p90_response_minutes"": 63.336176743270855, ""patients"": 7, ""response_count"": 7, ""response_minutes"": 297.38035482223455, ""scene_count"": 7, ""scene_minutes"": 98.0, ""transport_count"": 7, ""transport_minutes"": 195.25}, ""trauma"": {""expected_lost"": 9.24544126762925, ""expected_saved"": 1.754558732370751, ""mean_response_minutes"": 42.52462109712198, ""mean_scene_minutes"": 16.0, ""mean_transport_minutes"": 27.83636363636364, ""p90_response_minutes"": 107.15777591706569, ""patients"": 11, ""response_count"": 11, ""response_minutes"": 467.77083206834175, ""scene_count"": 11, ""scene_minutes"": 176.0, ""transport_count"": 11, ""transport_minutes"": 306.20000000000005}}","{""arrive_hospital"": 76, ""arrive_scene"": 35, ""hospital_release"": 57, ""patient_arrival"": 36, ""reposition_complete"": 35, ""restock_complete"": 35, ""scene_complete"": 35, ""transfer_ready"": 59}",23.373223,12.626777,0.3507438120727962,47.37347438991063,13.142857142857142,34.59142857142857,101.3595179686982,35,0.9722222222222222,36,36,1
